,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Arkansas (Million cubic feet)",46835,42796,44832,42783,45903,40189,38530,40055,42867,42312,39188,40639,39474,45545,41527,41107,46289,42428,38190,36245,42361,37202,39130,37994,34760,33605,31495,32731,35718,33252,36240,33737,26191,34989,38127,33049,27130,25704,34979,33718,
"Natural gas consumed by (delivered to) the commercial sector, Arkansas (Million cubic feet)",30690,28282,29438,27739,28995,26731,24949,24603,27457,27271,25129,25986,25314,28998,27407,27409,31006,29441,28062,27898,33180,32031,32928,31746,29821,31521,31286,32187,36924,36373,40232,39986,41435,47636,50673,47651,45810,47496,55453,55100,
"Natural gas consumed by the industrial sector, Arkansas (Million cubic feet)",125880,129109,110570,95666,99757,109099,101306,67131,116923,140919,127323,106256,124688,124073,136089,139998,144179,151795,149394,139552,132338,123813,119858,112284,102442,90543,89392,87679,88131,82165,88930,92033,88818,94479,96137,91926,93207,104564,110384,108604,
"Natural gas consumed by the electric power sector, Arkansas (Million cubic feet)",58863,54915,33443,33275,24962,11411,28425,32057,22075,29462,32090,27903,27015,21191,24977,32750,33998,24805,40574,40089,34602,26096,42430,56369,40138,48987,71056,63594,64188,83266,96553,107014,129059,93552,71796,109553,135317,127049,152665,159531,
"Total energy consumption per capita in the residential sector, Arkansas (Million Btu)",77,64.3,67.2,68.9,67.1,65.7,65.9,67.6,69.9,71.8,71.4,72.5,68,76.9,73.6,76.7,78.2,75.5,79,78.5,84,82,83,79.7,77.9,83.8,79.6,81.6,82.3,78.3,86.9,84.1,75.2,81.4,83.1,76.7,71.5,67.3,78,75.1,
"Electricity consumed by (i.e., sold to) the residential sector, Arkansas (Million kilowatthours)",10227,8426,8617,8798,8764,8936,9254,9708,9946,9957,10558,11001,10440,11762,11642,12417,12934,12990,14339,14045,14871,15104,15527,15598,15619,17134,17065,17415,17392,16986,19231,18787,17909,18219,18441,18273,17784,17027,19259,18732,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Arkansas (Kilowatthours)",4468,3674,3756,3815,3778,3840,3968,4144,4245,4244,4480,4616,4321,4788,4668,4897,5029,4994,5460,5296,5552,5612,5738,5725,5680,6161,6048,6113,6050,5863,6581,6388,6065,6154,6212,6133,5944,5668,6394,6201,
"Distillate fuel oil consumed by the residential sector, Arkansas (Billion Btu)",884,116,81,5,4,3,5,6,5,3,2,3,55,3,5,12,5,4,3,5,4,5,50,21,32,9,15,18,9,23,55,58,25,24,31,49,75,48,43,4,
"Propane consumed by the residential sector, Arkansas (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6049,5063,3819,5092,4964,4198,3198,2949,3993,4095,
"Distillate fuel oil consumed by the commercial sector, Arkansas (Billion Btu)",650,1023,807,8831,6989,4828,803,1310,941,1813,1738,1501,1658,2074,2223,1752,1692,1573,2084,1515,2186,3453,2598,4329,2999,4157,538,521,591,5630,3812,3586,2191,2105,3286,3420,3075,3184,3401,4001,
"Electricity consumed by (i.e., sold to) the commercial sector, Arkansas (Million kilowatthours)",5326,4814,5034,5099,5592,5848,5915,6131,6396,6566,6681,6922,6760,7292,7451,7771,8063,8236,8910,9064,9472,9894,10035,10568,10731,11366,11581,11801,11703,11477,12188,12146,12102,11898,11988,12153,12178,11913,12278,11949,
"Total energy consumption per capita in the commercial sector, Arkansas (Million Btu)",43.4,38.3,39.9,47,44.3,43.2,40.4,40.9,43.2,45.2,44.2,44.6,42.8,46.7,46.2,47.5,48.4,47.9,50.4,50.7,54.6,55.8,56,56.4,55.8,58.7,56.1,57.2,58.1,56.8,59.7,59.4,57.6,59.6,61.4,60.1,58.6,57.6,61.2,59.6,
