State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DC,Electric Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,Vehicle Fuel Total Volume (Mcf),5804,4029,8934,15939,10091,10939,11147,12822,3913,2546,383,996,300,126,35667,384422,380939,390851,401141,380356,381721,426427,446031
DC,Vehicle Fuel Sales Volume (Mcf),5804,4029,8934,15939,10091,10939,11147,12822,3913,2546,383,996,300,126,35667,31932,19,1,1,206,1791,1127,781
DC,Vehicle Fuel Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352490,380920,390850,401140,380150,379930,425300,445250
DC,Vehicle Fuel Sales Price (Dollars),3.01,2.6,2.8,3.99,5.14,4.37,5.95,6.76,8.93,9.5,9.49,15.57,6.83,4.87,4.17,9.38,39.21,600.0,605.0,9.71,7.36,8.11,7.73
DC,Vehicle Fuel Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,2.19,2.15,2.11
DC,Vehicle Fuel Sales Revenue (Dollars),17483,10487,25050,63637,51842,47803,66312,86678,34942,24198,3636,15505,2049,614,148846,299473,745,600,605,2000,13174,9136,6039
DC,Vehicle Fuel Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831952,912405,939626
DC,Vehicle Fuel Total Customers,13,19,25,31,38,37,30,28,8,5,1,2,2,2,2,3,3,3,3,3,3,3,3
DC,Vehicle Fuel Sales Customers,13,19,25,31,38,37,30,28,8,5,1,2,2,2,2,2,2,2,2,2,2,1,1
DC,Vehicle Fuel Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2
