,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Wyoming (Million cubic feet)",9751,8904,15165,13930,13806,14363,12738,10616,11650,11780,11485,11992,10895,12661,11564,12152,13534,12999,12702,12106,12177,10977,13330,12144,12091,11660,11673,12375,13293,12656,12915,13283,11502,13640,13269,11576,11999,12553,13142,14057,
"Natural gas consumed by (delivered to) the commercial sector, Wyoming (Million cubic feet)",4980,4511,10098,9182,9431,9139,8045,8443,8700,8551,8440,9101,8009,10268,9231,9833,9721,10754,10414,9838,9752,9535,10414,9986,9916,9184,9500,9442,10180,10372,11153,11680,10482,12013,12188,12937,13425,13972,13787,12996,
"Natural gas consumed by the industrial sector, Wyoming (Million cubic feet)",48173,49232,58760,52340,56912,53570,49026,56513,56170,56578,67137,68316,96645,74858,79181,68323,69914,66632,74260,60873,63442,62159,72251,76419,71962,72722,72607,102415,101033,99226,104622,113158,114173,108326,95120,80567,83832,107951,121349,111648,
"Natural gas consumed by the electric power sector, Wyoming (Million cubic feet)",222,108,133,136,86,132,138,90,183,85,69,76,83,87,129,128,87,95,271,167,1843,2727,3764,2484,532,576,827,2024,1088,1079,592,418,496,535,831,1233,1514,1307,1873,3271,
"Total energy consumption per capita in the residential sector, Wyoming (Million Btu)",64.7,66.7,81.4,84.3,80.4,79.9,74.5,72.9,77.5,77.2,76.5,79.6,73.5,79.8,74.9,77.7,82,77.4,76.2,75.6,78.5,78,82.9,82.2,80.4,82.5,82.2,88.2,90.4,85.5,84.2,86.7,78.3,84.3,82.3,81.7,83.7,88.3,88.9,92.9,
"Electricity consumed by (i.e., sold to) the residential sector, Wyoming (Million kilowatthours)",1410,1633,1820,1816,1800,1815,1678,1635,1764,1721,1720,1819,1763,1906,1865,1939,2022,2007,2013,2025,2103,2146,2232,2286,2262,2377,2468,2592,2719,2720,2727,2803,2717,2829,2752,2677,2751,2772,2748,2849,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Wyoming (Kilowatthours)",2974,3321,3594,3558,3565,3631,3385,3427,3793,3755,3791,3962,3780,4029,3883,3997,4142,4101,4101,4118,4254,4337,4464,4541,4443,4622,4722,4846,4979,4858,4831,4939,4711,4857,4720,4565,4701,4780,4746,4912,
"Distillate fuel oil consumed by the residential sector, Wyoming (Billion Btu)",135,151,174,1845,1562,263,145,172,163,182,142,408,282,260,336,276,160,261,147,165,152,144,175,171,199,181,220,179,95,134,146,129,132,181,121,146,116,117,114,107,
"Propane consumed by the residential sector, Wyoming (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3339,3597,2651,2870,3067,2176,2597,3505,3275,3513,
"Distillate fuel oil consumed by the commercial sector, Wyoming (Billion Btu)",2493,726,2044,1294,1095,2293,2110,1419,1427,1370,1271,1128,1068,1094,1141,1544,1538,1277,859,2121,2331,2418,1647,912,593,555,538,502,653,866,1420,2193,2444,1960,1833,1547,1665,1545,1007,1040,
"Electricity consumed by (i.e., sold to) the commercial sector, Wyoming (Million kilowatthours)",1138,1434,1523,1583,2056,2321,2248,2177,2220,2219,2319,2439,2496,2616,2572,2443,2562,2568,2678,2693,2945,3104,3189,3282,3393,3754,4117,4214,4411,4288,4317,4353,4245,4067,4000,3925,3762,3762,3757,3575,
"Total energy consumption per capita in the commercial sector, Wyoming (Million Btu)",51,51.1,68.4,65.2,74.4,81.8,79,79.5,84.2,85.4,87.9,91.7,86.7,95.2,92.1,88.2,97.7,90.3,92.3,91.8,98.5,103.1,102.3,104.1,105,108.5,113.6,115.1,117.2,111.3,112.5,118.9,110.8,108.2,107.1,107.2,104.4,103.8,102.2,98.8,
