,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",VA,131303,131558,129742,128978,133732,117945,120904,115141,115412,101392
8,"Household Income: $100,000 to $124,999",VA,273307,272365,271763,283204,292581,302811,299429,312358,308544,319472
9,"Household Income: $125,000 to $149,999",VA,175501,169031,181399,180009,197741,193763,205546,205749,222485,221928
10,"Household Income: $15,000 to $19,999",VA,133038,126992,136705,133933,117613,120840,119111,112507,114457,103801
11,"Household Income: $150,000 to $199,999",VA,194200,201441,207476,210855,213653,229887,237472,259987,267953,288495
12,"Household Income: $20,000 to $24,999",VA,140356,136107,135428,125903,138316,130714,123015,118982,121666,119189
13,"Household Income: $200,000 or more",VA,189796,209310,215909,237974,250453,260085,290822,309093,340980,380000
14,"Household Income: $25,000 to $29,999",VA,130604,130307,131372,133308,127751,128140,115461,110755,117078,104759
15,"Household Income: $30,000 to $34,999",VA,141580,137483,135726,134841,126060,130868,135007,120403,119690,125062
16,"Household Income: $35,000 to $39,999",VA,136011,128931,132453,127740,127627,125258,123158,119135,115397,111368
17,"Household Income: $40,000 to $44,999",VA,137122,125331,133961,134518,125770,135129,127506,116512,124891,118000
18,"Household Income: $45,000 to $49,999",VA,122559,118158,117141,121139,117244,112780,117366,114215,117099,111017
19,"Household Income: $50,000 to $59,999",VA,227490,233435,236440,236740,233801,233064,228933,225466,215019,217878
20,"Household Income: $60,000 to $74,999",VA,305062,298791,306408,304550,302028,307469,301481,303003,302261,301681
21,"Household Income: $75,000 to $99,999",VA,376770,389974,383179,381759,397758,399064,400490,412608,406431,413879
22,"Household Income: Less than $10,000",VA,178033,181436,183865,180412,181692,179078,174991,164966,166161,153926
23,Household Income: Total:,VA,2992732,2990650,3038967,3055863,3083820,3106895,3120692,3120880,3175524,3191847
24,Median Household Income,VA,60674.0,61882.0,61741.0,62666.0,64902.0,66262.0,68114.0,71535.0,72577.0,76456.0
