,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Minnesota (Million cubic feet)",103387,95955,107660,97615,101910,106647,103303,89943,109669,116909,106966,117148,113560,123401,122249,128736,142319,128873,110449,118938,129804,124891,135213,137953,132893,128625,117153,128842,139489,133319,122993,125160,109103,139897,146647,117588,117598,123898,141400,144577,
"Natural gas consumed by (delivered to) the commercial sector, Minnesota (Million cubic feet)",63780,66755,74309,70713,75175,77020,74478,65923,79989,85183,78015,85875,82381,86629,83933,90658,98537,92232,82345,88061,95358,93844,104387,101446,96541,95916,87170,91275,99526,96218,89963,94360,83174,105937,110884,93005,92591,99756,110026,113428,
"Natural gas consumed by the industrial sector, Minnesota (Million cubic feet)",101473,87831,68116,65212,69977,66301,57847,71967,77710,81479,88359,92251,93025,97771,94468,106189,102456,107322,104610,104187,105875,92452,95671,94772,97103,94989,103009,113504,143837,128361,158457,157776,159947,160732,173569,157401,162818,165901,161560,162437,
"Natural gas consumed by the electric power sector, Minnesota (Million cubic feet)",8077,5553,3274,2861,1978,1275,1734,5700,5217,4427,5308,5870,4906,3942,5849,8323,5296,6117,12974,11334,9895,10610,13181,16752,12773,26024,24911,34790,24900,23665,36076,28244,57190,49640,30437,53096,65227,49052,63110,86744,
