,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",GA,210861,216455,215303,202120,202149,200297,186590,173611,157261,163741
8,"Household Income: $100,000 to $124,999",GA,244647,238104,249223,257401,257707,286175,298285,311558,340039,345431
9,"Household Income: $125,000 to $149,999",GA,128584,137124,135302,141185,147895,168794,171992,195726,201312,224841
10,"Household Income: $15,000 to $19,999",GA,212506,208015,203374,204407,205536,184142,181811,179219,170884,166221
11,"Household Income: $150,000 to $199,999",GA,130060,129279,139411,144155,156709,170612,182522,204692,224434,243294
12,"Household Income: $20,000 to $24,999",GA,212212,213851,213577,205235,202220,211837,199645,193125,192147,173428
13,"Household Income: $200,000 or more",GA,113594,116644,139608,139177,157281,167981,195423,216405,255226,281732
14,"Household Income: $25,000 to $29,999",GA,196782,186177,197013,191763,184742,183111,176851,176823,178532,169736
15,"Household Income: $30,000 to $34,999",GA,200419,197425,188176,201025,195366,193294,189701,187913,183149,174416
16,"Household Income: $35,000 to $39,999",GA,169785,181650,175918,177504,179245,174441,169644,174848,157073,160146
17,"Household Income: $40,000 to $44,999",GA,171001,172793,166626,173940,181994,178544,176921,174420,175543,168658
18,"Household Income: $45,000 to $49,999",GA,153169,152218,153782,146336,157071,158032,154377,153438,154010,148721
19,"Household Income: $50,000 to $59,999",GA,283651,285744,279965,289927,287189,292329,296332,288810,290492,286625
20,"Household Income: $60,000 to $74,999",GA,350680,348850,355612,339930,353236,374255,380388,384654,386250,417847
21,"Household Income: $75,000 to $99,999",GA,385731,374424,390927,407155,415022,419540,448149,466089,467779,490823
22,"Household Income: Less than $10,000",GA,318738,335789,329091,325705,304159,293023,277504,263743,268881,237054
23,Household Income: Total:,GA,3482420,3494542,3532908,3546965,3587521,3656407,3686135,3745074,3803012,3852714
24,Median Household Income,GA,46430.0,46007.0,47209.0,47829.0,49321.0,51244.0,53559.0,56183.0,58756.0,61980.0
