State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
OR,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,443133,242234,13,43,147640,82496,10823,115151,126092,127326,165545,203724,247612,349980,260222,369386,381431,443946
OR,Residential Total Volume (Mcf),32522132,34417142,38564146,38698209,38271067,38858205,37300083,38532031,39805567,41045090,42879905,45052500,44818806,40821056,46603728,43333250,46253870,41185354,37069760,39390562,47840603,42624698,47927121
OR,Residential Sales Volume (Mcf),32522132,34417142,38564146,38698209,38271067,38858205,37300083,38532031,39805567,41045090,42879905,45052500,44818806,40821056,46603728,43333250,46253870,41185354,37069760,39390562,47840603,42624698,47927121
OR,Residential Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,Residential Sales Price (Dollars),7.03,6.68,6.86,7.92,9.68,10.03,9.52,10.83,12.49,14.22,14.67,14.3,14.13,12.53,12.09,11.55,10.68,11.68,12.22,11.4,10.48,10.71,9.82
OR,Residential Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
OR,Residential Sales Revenue (Dollars),201924903,234278196,275134410,314311721,371391281,409653249,367071919,427899989,513462353,596454004,628169071,625883826,650839833,510010881,547993380,486285988,501574166,482669917,463072341,459776981,506692005,454033994,477629448
OR,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,Residential Total Customers,456960,477796,502000,523952,542799,563744,625398,595495,626685,647635,664455,674421,675582,682737,688681,693507,700211,707010,717999,727887,740012,751904,763989
OR,Residential Sales Customers,456960,477796,502000,523952,542799,563744,625398,595495,626685,647635,664455,674421,675582,682737,688681,693507,700211,707010,717999,727887,740012,751904,763989
OR,Residential Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,Commercial Total Volume (Mcf),25465318,25986325,28510298,28588597,27883882,27714337,26109979,26214464,27630685,27844149,29006526,30444370,29743888,27246255,30358944,28804864,30565864,28377445,25602168,26667462,31763336,28997482,32379036
OR,Commercial Sales Volume (Mcf),25087367,25732118,28172949,28252722,27682476,27348286,25682193,25842361,27239186,27426154,28561049,30001112,29265038,26539563,29568617,27909465,29522192,27248275,24371474,25187213,30030004,27354744,30761718
OR,Commercial Transported Volume (Mcf),377951,254207,337349,335875,201406,366051,427786,372103,391499,417995,445477,443258,478850,706692,790327,895399,1043672,1129170,1230694,1480249,1733332,1642738,1617318
OR,Commercial Sales Price (Dollars),4.72,5.14,5.59,6.45,8.25,8.18,7.91,9.2,10.53,12.62,12.7,12.26,12.05,10.47,9.98,9.37,8.57,9.36,9.9,9.01,8.32,8.3,7.62
OR,Commercial Transported Price (Dollars),,,,,,,,,,,,0.85,0.84,1.38,1.46,1.41,1.35,1.44,1.72,1.84,1.72,1.78,1.58
OR,Commercial Sales Revenue (Dollars),116088312,135159609,159341983,182996073,221239095,214900935,203269960,242131294,283844350,354961460,353039078,347124707,347144370,267916913,283889336,248633185,253911209,257321902,247725536,234239671,262525665,232003316,242314061
OR,Commercial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,378282,403348,887097,1049689,1202394,1402329,1687676,2323250,3178727,3487840,3402443,2912228
OR,Commercial Total Customers,60419,63085,65034,66893,68098,69150,74515,71762,73520,74683,80998,76868,76893,77370,77822,78237,79276,80480,80877,81652,82523,83201,84182
OR,Commercial Sales Customers,60409,63075,65028,66887,68093,69145,74508,71752,73512,74674,80989,76860,76885,77351,77793,78197,79227,80422,80772,81501,82365,83043,84071
OR,Commercial Transported Customers,10,10,6,6,5,5,7,10,8,9,9,8,8,19,29,40,49,58,105,151,158,158,111
OR,Industrial Total Volume (Mcf),90402707,74702890,107984401,76272783,69866187,70509746,67519287,71686522,69644615,70090624,68813238,68785197,57317806,55822213,56977147,57506052,57371685,56521815,53632213,57760458,57849303,54267012,57008341
OR,Industrial Sales Volume (Mcf),14736245,14677115,14691742,13505945,15007769,10186708,11849506,17826936,23109437,18616587,14988548,13855545,10818602,9522610,9769687,9611280,9681548,9722497,8038278,8337913,8983131,8456328,8754328
OR,Industrial Transported Volume (Mcf),75666462,60025775,93292659,62766838,54858418,60323038,55669781,53859586,46535178,51474037,53824690,54929652,46499204,46299603,47207460,47894772,47690137,46799318,45593935,49422545,48866172,45810684,48254013
OR,Industrial Sales Price (Dollars),3.24,3.82,3.89,4.81,6.52,6.48,5.91,6.75,8.35,9.62,9.65,10.01,10.23,7.88,7.59,6.65,6.13,6.72,7.27,5.65,5.19,5.09,4.42
OR,Industrial Transported Price (Dollars),,,,,,,,,,,,0.5,0.54,0.55,0.55,0.53,0.54,0.53,0.54,0.54,0.56,0.57,0.57
OR,Industrial Sales Revenue (Dollars),44711635,54975249,58963738,66570057,91459255,71080010,69213262,112227325,177920711,170511253,139442124,125626759,104990141,67097207,66848047,56390818,56053576,60243852,57089878,47754580,47669621,42376196,40451125
OR,Industrial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,16416876,16560055,17228365,18848433,18320138,18312302,18746472,19321731,19980095,20669800,19947385,21082867
OR,Industrial Total Customers,704,688,718,717,821,842,926,907,1118,1060,1136,1075,1051,1053,1066,1076,1085,1099,1117,1193,1202,1214,1205
OR,Industrial Sales Customers,549,538,539,523,424,441,539,781,1006,954,960,891,846,821,828,817,821,839,853,920,926,938,932
OR,Industrial Transported Customers,155,150,179,194,397,401,387,126,112,106,176,184,205,232,238,259,264,260,264,273,276,276,273
OR,Electric Total Volume (Mcf),10446239,28064751,19558089,66301321,128164803,81233860,30018755,29760348,124021088,94012278,109864395,121721466,111743935,112462105,68334408,87002704,102954437,92233395,109171291,103103708,98471682,119049505,138719821
OR,Electric Sales Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,Electric Transported Volume (Mcf),10446239,28064751,19558089,66301321,128164803,81233860,30018755,29760348,124021088,94012278,109864395,121721466,111743935,112462105,68334408,87002704,102954437,92233395,109171291,103103708,98471682,119049505,138719821
OR,Electric Sales Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
OR,Electric Transported Price (Dollars),,,,,,,,,,,,0.06,0.06,0.06,0.08,0.08,0.07,0.08,0.08,0.1,0.11,0.08,0.07
OR,Electric Sales Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,Electric Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,1476601,1439728,1448417,1371087,1377862,1416895,1388200,1400153,1354842,1338304,1428722,1453860
OR,Electric Total Customers,2,2,2,3,22,9,4,4,9,7,8,7,7,6,6,6,6,6,7,9,8,11,11
OR,Electric Sales Customers,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,Electric Transported Customers,2,2,2,3,22,9,4,4,8,7,8,7,7,6,6,6,6,6,7,9,8,11,11
OR,Vehicle Fuel Total Volume (Mcf),34654,38111,51552,54033,39899,9681,61869,5314,4859,4715,4187,3236,3556,2125,1885,4317,6373,5277,46820,56562,60437,67744,49326
OR,Vehicle Fuel Sales Volume (Mcf),34654,38111,51552,54033,39899,9681,61869,5314,4859,4715,4187,3236,3556,2125,1885,4317,6373,5277,46663,56358,60437,67744,49326
OR,Vehicle Fuel Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,204,0,0,0
OR,Vehicle Fuel Sales Price (Dollars),5.92,5.92,6.0,7.85,5.1,6.95,7.7,4.75,4.8,7.19,6.59,8.03,7.11,5.61,4.23,4.57,3.84,8.14,7.45,6.9,8.56,13.31,285.75
OR,Vehicle Fuel Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
OR,Vehicle Fuel Sales Revenue (Dollars),205233,225706,309129,424213,203620,67276,476391,25261,23307,33892,27585,25971,25292,11928,7980,19718,24494,32511,472415,533948,779880,901908,751405
OR,Vehicle Fuel Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,Vehicle Fuel Total Customers,167,172,271,293,209,205,204,213,168,168,143,125,123,126,0,246,265,289,264,295,318,16,16
OR,Vehicle Fuel Sales Customers,167,172,271,293,209,205,204,213,168,168,143,125,123,126,0,246,265,289,263,294,318,16,16
