,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,WV,71910,68177,67205,66962,68773,71894,65700,65374,66084,67546
50,Year Built: 1950-1959,WV,99583,97682,101317,91959,100197,86614,93908,96700,96550,93859
51,Year Built: 1960-1969,WV,84128,83171,85976,78607,79921,88667,80640,81557,79724,82797
52,Year Built: 1970-1979,WV,155102,155607,148697,152349,145097,146135,141192,143815,146537,137836
53,Year Built: 1980-1989,WV,117907,113469,115686,109211,111757,106627,110827,102819,114807,114091
54,Year Built: 1990-1999,WV,118463,113942,115176,120957,124581,121138,110239,115560,124381,123645
55,Year Built: 2000-2009,WV,55123,58578,97345,100958,98933,101454,113384,111850,100188,85717
56,Year Built: 2010-2013,WV,36425,49585,7777,12352,13720,17298,19786,20542,17562,19789
57,Year Built: 2014 or later,WV,,,,,,1583.0,6976.0,13541.0,14065.0,21212.0
58,Year Built: before 1940,WV,143572,141610,143621,146069,141595,144129,144058,140482,133844,148491
