,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,WV,5.7,5.7,5.6,5.6,5.7,5.7,5.7,5.7,5.7,5.7
26,Number of Rooms: 1,WV,10748,10194,12476,10682,21065,22088,20432,15162,11538,16411
27,Number of Rooms: 2,WV,13040,10530,13039,11971,13850,12481,13141,13859,11097,13346
28,Number of Rooms: 3,WV,51846,49693,51559,47094,49086,49563,48943,50844,47099,49253
29,Number of Rooms: 4,WV,140482,142077,142906,141157,134398,129796,134418,138272,130591,128795
30,Number of Rooms: 5,WV,196229,194970,197709,201325,194571,199401,193025,201508,205294,194452
31,Number of Rooms: 6,WV,184296,180111,182037,183635,179113,180052,181679,175460,184949,185678
32,Number of Rooms: 7,WV,114741,122400,119878,124366,128190,122467,124089,121077,123797,119977
33,Number of Rooms: 8,WV,80798,81782,78167,76081,77183,78427,80178,78343,87999,81252
34,Number of Rooms: 9+,WV,90033,90064,85029,83113,87118,91264,90805,97715,91378,105819
