,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, New York (Million cubic feet)",333902,336813,343029,321949,337253,320073,336712,334417,357260,364713,337988,338892,378689,384216,385408,375005,403264,375641,339512,370711,400224,376176,369614,409649,392738,406175,356453,400259,394196,404868,390491,393825,357709,416357,458313,452166,412467,432566,485693,473617,
"Natural gas consumed by (delivered to) the commercial sector, New York (Million cubic feet)",161813,167253,164784,161770,170365,165498,167503,167178,188037,196380,194990,199598,217214,220729,223256,231352,253075,320862,335343,360188,365879,347253,362247,339371,359070,275721,259972,285030,290150,280763,287389,291118,270232,300776,320168,311207,302572,310319,330213,322778,
"Natural gas consumed by the industrial sector, New York (Million cubic feet)",113809,122029,110769,97575,107844,100870,87643,97056,91671,97468,102125,120017,148485,142366,161733,214539,215580,206524,172679,102265,97097,85051,93125,83523,78903,81485,78462,77930,80653,73171,76048,75660,74556,80151,84578,83335,81066,83030,91600,90505,
"Natural gas consumed by the electric power sector, New York (Million cubic feet)",124391,130507,152577,135811,169620,172631,133580,173328,148493,182529,229445,228710,254415,240770,289132,430886,319502,413102,377087,432513,373388,357409,365705,260733,258650,304059,388040,408260,399385,368353,425488,434019,499074,455846,452796,471586,472427,385490,415495,378567,
"Total energy consumption per capita in the residential sector, New York (Million Btu)",57.7,57.2,56.1,55.7,57.4,56.3,58,59.6,62.6,62.4,58,57.2,59.9,60,58.5,57.3,59.9,59.9,56.7,60.9,64,61.4,60.7,64.5,64.1,65.9,58.2,61.8,59.9,55.8,56.2,54.9,52,54.4,57,57.8,53.7,53.8,60.1,58.5,
"Electricity consumed by (i.e., sold to) the residential sector, New York (Million kilowatthours)",30583,30702,30626,31803,32836,32757,33771,35294,37460,37878,38574,39177,38720,39897,40105,39887,40285,40059,40563,42919,43018,44236,46457,47116,47379,50533,48427,50241,49034,48246,50946,51240,50692,50777,49975,51013,50831,49081,52153,50141,
"Electricity consumed by (i.e., sold to) the residential sector per capita, New York (Kilowatthours)",1741,1748,1741,1798,1850,1841,1894,1975,2088,2106,2141,2162,2122,2171,2173,2153,2167,2147,2163,2273,2264,2318,2428,2457,2471,2641,2535,2626,2552,2499,2626,2628,2590,2587,2543,2595,2589,2505,2668,2576,
"Distillate fuel oil consumed by the residential sector, New York (Billion Btu)",219542,204140,184420,171278,201447,201592,221210,240990,242893,225255,183602,168711,189622,178348,173253,166594,175995,170915,155002,164950,205000,212407,191404,202941,199339,203942,155503,174107,162643,119904,114236,106482,126543,104880,113428,121811,89296,83584,107668,105675,
"Propane consumed by the residential sector, New York (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22205,19767,16826,19400,24824,22466,21238,21885,27265,28275,
"Distillate fuel oil consumed by the commercial sector, New York (Billion Btu)",84414,73383,79209,69481,81719,76980,106962,98348,98167,100188,89791,86020,94139,93956,94473,91436,90391,83439,69330,81153,88028,98138,87469,115109,115819,105227,90538,84479,77725,69682,58038,59489,49609,53152,48604,55509,46602,45681,46711,48168,
"Electricity consumed by (i.e., sold to) the commercial sector, New York (Million kilowatthours)",40471,42685,42800,43850,47600,48816,50430,52256,55305,56051,56025,56408,56079,57410,58802,62509,62663,64033,65834,67969,70417,71850,73198,72495,74378,76822,76029,74326,77416,75347,77276,76406,76018,76342,76541,77006,76507,75333,76745,75091,
"Total energy consumption per capita in the commercial sector, New York (Million Btu)",51,47.6,50,47.5,52,52.1,55.4,55.1,57.5,58.9,59.7,58.7,59.4,59.7,58.7,60.4,61.7,66,65.6,69.7,70.6,68.9,69.9,71.3,74.3,69.3,65,64,64.4,62.1,62.6,60.7,56.1,57.7,57.9,58.1,56.9,57,59,57.6,
