,state,source,all_exp,white_exp,POC_exp,hispanic_exp,black_exp,asian_exp,POC_pctDiff,hispanic_pctDiff,black_pctDiff,asian_pctDiff
0,Connecticut,All,3.74656530564721,3.49556483489701,4.29640978029683,4.38863426192003,4.44239385020247,3.91362393651129,0.146759613083705,0.171375354195756,0.185724386948877,0.0445898088610049
1,Connecticut,Agriculture,0.279549796452645,0.281712599738489,0.274811935073654,0.274106995882014,0.274095221259425,0.279100503708595,-0.0169481839697664,-0.0194698784964169,-0.019511998443337,-0.00160720111318613
2,Connecticut,Coal Elec. Util.,0.350249800771416,0.34781024124808,0.355593927499451,0.361820449161715,0.349035679948569,0.353562865436494,0.0152580435913571,0.0330354174786539,-0.00346644257947704,0.00945914789324799
3,Connecticut,Commercial Cooking,0.144581138788353,0.113353474809586,0.21298881325853,0.224385977656947,0.234516407592064,0.158259740511585,0.473143834966715,0.551972681481067,0.62204011918431,0.0946084796251025
4,Connecticut,Construction,0.14482064931694,0.128243687178013,0.181134330368305,0.186108763871236,0.192036592204356,0.156916934813446,0.250749331829694,0.285098256008622,0.326030459814359,0.0835259719767778
5,Connecticut,Heavy Duty Diesel Veh.,0.206183589848888,0.193372599008036,0.234247491512402,0.238757493827288,0.239701639806387,0.219515351987435,0.13611122827031,0.157984949249711,0.162564101158897,0.0646596664085515
6,Connecticut,Industrial,0.594954784131444,0.545416149877717,0.703474677519252,0.726616295502433,0.727302831352676,0.618267027645768,0.182400236593158,0.221296668053854,0.222450597509594,0.0391832188531041
7,Connecticut,Light Duty Gas Veh.,0.437653626288814,0.395951157463094,0.529007526919107,0.546631065329979,0.548467893192238,0.468358501853969,0.208735619089804,0.249003852579182,0.253200842508949,0.07015793705521
8,Connecticut,Miscellaneous,0.361674157376081,0.344704329083644,0.398848455473853,0.403484825704763,0.409625545488528,0.374064461751554,0.102783948865655,0.115603140218853,0.132581737275152,0.0342581965639032
9,Connecticut,Non-coal Elec. Util.,0.0660078990357849,0.0617536876606185,0.0753272226674719,0.0755495322302301,0.0811411853816631,0.0652815210112526,0.141184975856218,0.144552899483627,0.229264778411958,-0.0110044106105927
10,Connecticut,Off-highway Veh. & Equip.,0.259546385961005,0.243737666140343,0.294177146687051,0.30182871051868,0.301653317410923,0.26701203340115,0.133428021345089,0.162908546775247,0.162232778907753,0.0287642126570273
11,Connecticut,Residential Other,0.160064067856632,0.142512522128775,0.198512682758342,0.203916559891773,0.210349490599402,0.17242262218716,0.240207658199392,0.273968371679892,0.314158095668354,0.0772100478015899
12,Connecticut,Residential Gas Comb.,0.100919009694517,0.0842352731148967,0.137466592045245,0.143043250810397,0.149112137119009,0.110215487985034,0.362147651481695,0.417406405823744,0.47754261135115,0.0921182076464786
13,Connecticut,Residential Wood,0.558199471865946,0.537433355025047,0.603689962663713,0.603319493488917,0.623604689319812,0.583040736973841,0.0814950444967306,0.080831358496531,0.11717176520291,0.0445024876588572
14,Connecticut,Road Dust,0.0821609282587412,0.0753280924206743,0.0971290158504499,0.0990648480436583,0.101751219527415,0.0876061472440058,0.182180117836195,0.205741587189513,0.238438046938568,0.0662750421723144
