,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,OH,5.8,5.8,5.8,5.8,5.9,5.9,5.9,5.9,5.9,5.9
26,Number of Rooms: 1,OH,67845,68621,66089,65156,59882,75471,75452,69572,70523,81287
27,Number of Rooms: 2,OH,71977,75771,74151,77576,83901,83944,86683,92576,90765,93244
28,Number of Rooms: 3,OH,333443,353039,351426,353580,353357,356767,351892,364505,367366,361153
29,Number of Rooms: 4,OH,717985,709020,706147,703487,714122,709819,694387,710354,694900,714252
30,Number of Rooms: 5,OH,1013077,1023520,1009153,1007350,996528,980181,1000585,995093,985215,980672
31,Number of Rooms: 6,OH,1042162,1048500,1037154,1031488,1030878,1018703,1033488,1025540,1033435,996343
32,Number of Rooms: 7,OH,745116,730925,738680,733666,743342,731920,727149,735003,729870,737510
33,Number of Rooms: 8,OH,528383,521465,529021,514260,520664,527522,518477,524668,530743,544469
34,Number of Rooms: 9+,OH,608125,602667,617025,637563,644608,672219,676287,684390,714800,724013
