,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,OH,351322,343373,334580,324829,335935,312681,326541,318149,325051,310238
50,Year Built: 1950-1959,OH,742500,742340,738165,737732,731032,738407,733511,734410,723846,726589
51,Year Built: 1960-1969,OH,633380,656552,646986,625160,637785,628214,624680,646503,624052,611358
52,Year Built: 1970-1979,OH,727213,716477,735115,723090,730094,745872,729155,746964,748165,741174
53,Year Built: 1980-1989,OH,474571,462090,455999,468255,462504,469519,457311,456949,465655,473490
54,Year Built: 1990-1999,OH,615885,587187,601598,604537,613270,614654,607458,602047,625441,621908
55,Year Built: 2000-2009,OH,327067,330986,506267,511068,503087,508360,499270,494547,482287,478360
56,Year Built: 2010-2013,OH,176131,215800,28994,49236,66226,72058,84679,85108,86913,81724
57,Year Built: 2014 or later,OH,,,,,,14579.0,40447.0,73187.0,104421.0,146052.0
58,Year Built: before 1940,OH,1080044,1078723,1081142,1080219,1067349,1052202,1061348,1043837,1031786,1042050
