,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Kentucky (Million cubic feet)",74235,70538,67590,63049,66895,60086,59372,59094,64027,65086,56064,59465,61911,66909,62533,66149,70232,66033,55545,59220,64662,56947,59104,61886,56443,56142,47379,51534,55025,51821,54391,50696,43065,54208,57590,49426,45502,43253,51476,48777,
"Natural gas consumed by (delivered to) the commercial sector, Kentucky (Million cubic feet)",39359,36379,35260,34111,36138,33758,32666,33298,35718,36148,31806,33700,35419,37817,36744,38610,40972,38627,32464,35798,38669,35255,35942,38212,36989,36894,32590,34386,37167,35438,36818,34592,30771,37422,39967,35435,33520,32796,38472,37395,
"Natural gas consumed by the industrial sector, Kentucky (Million cubic feet)",65861,66084,64846,61192,67224,63232,54564,57784,63078,66348,71557,74069,76431,79283,85854,93411,96907,98181,95543,101006,103745,97351,107089,105086,116953,115581,112271,112608,110555,98613,107895,109720,112290,116635,121725,122877,120853,118993,123296,126661,
"Natural gas consumed by the electric power sector, Kentucky (Million cubic feet)",1902,2589,1522,1196,1767,1121,437,336,452,328,283,227,269,269,350,866,1836,2194,5782,5686,4202,4433,13712,3667,4833,17181,12287,19376,9584,8399,19284,15575,31194,14536,26793,51723,66359,81208,112656,112369,
"Total energy consumption per capita in the residential sector, Kentucky (Million Btu)",72.6,71,71.7,72.1,74.2,72.8,73.6,74.8,79.1,81.1,74.5,81.2,78.8,82.6,81.6,85.4,88.3,83.7,81.3,85.9,88.7,85.1,93.2,90.4,89.4,93.6,88.1,92.6,91.7,88.9,94.9,87.7,82.4,87.3,89.1,81.3,79.9,74.5,82.7,78.7,
"Electricity consumed by (i.e., sold to) the residential sector, Kentucky (Million kilowatthours)",13075,13700,13697,14461,14675,14539,15307,16080,16811,16922,16814,18644,17787,19223,19481,20537,21353,20998,21669,22548,23374,23698,25347,24704,25187,26947,25949,28004,27562,26561,29137,27198,26097,26788,27400,26168,26338,24883,27713,26573,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Kentucky (Kilowatthours)",3568,3733,3718,3914,3971,3935,4151,4366,4568,4602,4552,5009,4724,5043,5061,5283,5448,5312,5437,5612,5773,5825,6198,6000,6075,6442,6150,6579,6425,6152,6700,6223,5947,6079,6203,5908,5932,5585,6208,5942,
"Distillate fuel oil consumed by the residential sector, Kentucky (Billion Btu)",4775,3330,3769,3956,4859,4986,4185,4876,5442,5056,4360,4086,4443,4553,4327,4206,3855,3828,3404,3045,3068,2655,2358,2910,2560,2152,1478,1419,1335,1854,650,1560,462,611,581,639,537,526,421,501,
"Propane consumed by the residential sector, Kentucky (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10177,9068,6241,6956,8378,7984,5816,4474,5925,8194,
"Distillate fuel oil consumed by the commercial sector, Kentucky (Billion Btu)",15332,3504,2858,9228,11334,9199,6280,3419,5986,4406,4441,4158,5075,3871,5238,6481,6943,5436,6160,6382,6297,6533,6212,4591,4676,4496,4346,3821,3189,2364,1910,2256,2314,2600,3004,3887,6782,3594,4255,4826,
"Electricity consumed by (i.e., sold to) the commercial sector, Kentucky (Million kilowatthours)",8432,8755,9017,9377,9288,9465,9913,10248,10821,11392,11740,12610,12198,12606,12956,13521,13736,15238,15921,16496,17252,17601,18107,17946,18443,19091,18941,20035,19669,18734,19411,18721,18756,21004,19157,19589,19981,19293,19980,19612,
"Total energy consumption per capita in the commercial sector, Kentucky (Million Btu)",45,41.9,41.7,44.2,44.2,43.1,43.5,43.6,47.3,49.2,48.2,51.2,50.2,50.9,52,53.7,54.2,57.8,57.3,60.9,62.6,61.8,65.5,63.5,64.4,65.2,62.9,64.4,63.2,59.7,60.7,57.9,57.5,64.5,59.8,59.8,60.9,57.7,59.9,58.2,
