,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",OH,279435,291820,280450,257856,255767,242642,239177,227476,220602,202612
8,"Household Income: $100,000 to $124,999",OH,294818,307929,318137,333254,344464,368899,371140,391930,419339,423111
9,"Household Income: $125,000 to $149,999",OH,156685,163836,166155,185745,194337,203861,222552,234417,242667,259854
10,"Household Income: $15,000 to $19,999",OH,287532,274607,272820,263374,265934,251795,242415,229748,223073,212685
11,"Household Income: $150,000 to $199,999",OH,130732,149240,153679,168572,182268,196324,202421,221825,238864,269173
12,"Household Income: $20,000 to $24,999",OH,288617,279980,285584,274745,268536,255536,247564,246686,235211,235628
13,"Household Income: $200,000 or more",OH,108643,118792,136633,150795,158276,170662,191654,201344,226307,254934
14,"Household Income: $25,000 to $29,999",OH,256716,259494,241654,251421,244785,237003,226903,229240,223840,217636
15,"Household Income: $30,000 to $34,999",OH,273931,264990,261545,259312,250443,258204,241658,250708,236388,240209
16,"Household Income: $35,000 to $39,999",OH,250270,237756,234330,230926,231391,227485,220109,220574,215081,207009
17,"Household Income: $40,000 to $44,999",OH,236047,228187,232734,228161,226443,229272,230593,227150,218978,216696
18,"Household Income: $45,000 to $49,999",OH,205719,196200,201340,202971,200964,194565,196062,196561,196246,188733
19,"Household Income: $50,000 to $59,999",OH,379186,376000,381456,372305,386099,372294,389125,374897,373260,386396
20,"Household Income: $60,000 to $74,999",OH,470365,476281,471233,465106,462956,482159,485024,487157,482444,503071
21,"Household Income: $75,000 to $99,999",OH,520458,512708,528540,535749,543392,563975,569956,595751,603015,613563
22,"Household Income: Less than $10,000",OH,385912,400735,388382,384453,377117,351979,348316,331728,330132,299030
23,Household Income: Total:,OH,4525066,4538555,4554672,4564745,4593172,4606655,4624669,4667192,4685447,4730340
24,Median Household Income,OH,45090.0,45749.0,46829.0,48081.0,49308.0,51075.0,52334.0,54021.0,56111.0,58642.0
