,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Ohio (Million cubic feet)",459972,460820,478331,439212,435800,427817,440190,401928,416721,373631,393759,377134,369437,329647,350296,327591,327300,326480,350612,359148,308321,321724,340628,354110,343331,357754,374824,354543,296576,318214,343920,308534,321317,343037,320823,322697,272261,299577,306529,292429,283703,286132,250871,297361,320568,285306,255826,258699,301232,290080,
"Natural gas consumed by (delivered to) the commercial sector, Ohio (Million cubic feet)",183412,189791,208068,196663,192497,169357,179392,149011,172429,158117,166210,161110,157664,143568,155350,143311,139119,146983,158790,161516,143503,150339,160645,164044,166798,175160,189966,183838,156630,167573,177917,172555,163274,179611,170240,166693,146930,160580,167070,160612,156407,161408,145482,168233,183105,166602,152478,156979,178992,177428,
"Natural gas consumed by the industrial sector, Ohio (Million cubic feet)",376177,403069,432558,439339,427651,344536,373298,285126,328380,346133,320879,317185,271303,262802,266496,253234,241069,229363,284928,282081,283588,281226,296255,302626,310568,331889,345005,336075,332247,326964,340088,296579,306892,291436,302935,294830,287350,294853,283674,233511,270060,268815,265368,275301,308197,286016,289123,295426,330451,319648,
"Natural gas consumed by the electric power sector, Ohio (Million cubic feet)",21380,20773,16121,16144,20680,6140,5322,3377,3141,5604,4706,2051,1230,1046,694,699,606,871,974,983,1254,3237,2956,2737,2969,7459,2902,3491,7981,11388,10123,10545,22722,18774,18258,27941,23184,37292,23493,37668,58161,92845,171590,161174,175221,208222,212528,207466,322926,363963,
"Residential carbon dioxide emissions, natural gas, Ohio (million metric tons CO2)",,,,,,,,,,,21.22707,20.47027,20.169916,18.085161,19.273577,18.146176,18.164587,18.102139,19.346954,19.856086,17.013681,17.82322,18.723538,19.50257,18.89072,19.704822,20.643606,19.659246,16.36761,17.511777,19.018374,17.062387,17.702304,18.856711,17.79388,17.865824,15.012384,16.486298,16.917171,16.158249,15.570434,15.656863,13.760671,16.367982,18.034385,16.200959,14.585012,14.729167,17.046364,,
"Commercial carbon dioxide emissions, natural gas, Ohio (million metric tons CO2)",,,,,,,,,,,8.960157,8.7448,8.607861,7.876474,8.547482,7.938392,7.720859,8.149663,8.762096,8.929649,7.918708,8.328676,8.830274,9.034701,9.177583,9.647665,10.462456,10.193724,8.644151,9.221779,9.838616,9.54256,8.995227,9.873209,9.442071,9.228783,8.1017,8.837065,9.220506,8.874683,8.584091,8.832078,7.979935,9.260245,10.301058,9.460375,8.693016,8.937714,10.125653,,
"Industrial carbon dioxide emissions, natural gas, Ohio (million metric tons CO2)",,,,,,,,,,,17.298171,17.216358,14.812148,14.417884,14.662847,14.027334,13.378928,12.717365,15.722494,15.595317,15.648852,15.579666,16.28447,16.667115,17.088067,18.280197,19.00129,18.635199,18.336225,17.99332,18.806519,16.401248,16.907621,16.020195,16.801826,16.32299,15.844365,16.22632,15.655855,12.902745,14.821645,14.709271,14.555831,15.153727,17.338441,16.241229,16.483327,16.82029,17.385343,,
"Natural Gas Citygate Price in Ohio, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.47,4.17,3.89,3.4,3.26,3.31,3.09,3.05,3.26,3.52,3.48,3.84,4.37,5.18,4.7,4.83,6.1,8.25,4.68,6.54,7.49,10.66,9.87,8.64,10.41,6.6,6.87,5.51,4.47,4.51,4.91,4.49,3.27,3.96,3.97,3.6,
"Ohio Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.9,0.98,1.05,1.11,1.24,1.5,1.77,2.21,2.43,2.81,3.54,3.97,4.96,6.08,6.07,6.04,5.8,5.35,5.21,5.32,5.29,5.28,5.2,5.71,5.88,5.46,5.9,6.75,6.43,6.24,7.7,9.67,7.61,9.16,10.46,13.0,14.39,13.47,14.53,12.68,11.13,10.78,9.91,9.46,10.16,9.51,9.03,9.72,9.1,9.58,
"Ohio Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.76,0.82,0.88,0.92,1.08,1.34,1.62,2.07,2.24,2.6,3.32,3.71,4.65,5.71,5.68,5.57,5.35,4.89,4.75,4.9,4.68,4.76,4.72,5.24,5.38,4.92,5.38,6.23,5.83,5.58,7.01,8.67,6.41,8.12,9.2,11.67,12.83,11.74,12.77,10.42,9.25,8.55,7.11,6.21,7.82,6.48,5.74,6.11,5.92,5.97,
