,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Missouri, Annual (Dollars per Thousand Cubic Feet)",4.96,6.33,4.56,6.12,6.99,8.67,8.53,7.53,8.03,7.06,6.17,5.85,5.27,4.99,5.76,4.64,4.22,4.63,4.4,4.22
"Missouri Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",7.85,10.47,8.0,9.49,11.02,12.67,14.25,13.42,13.36,12.61,11.66,12.02,12.25,10.88,10.83,11.6,10.94,11.78,10.37,10.41
"Missouri Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",6.92,9.82,7.34,8.59,10.0,11.62,12.94,11.82,12.02,10.81,10.28,9.99,9.54,9.0,8.96,9.14,7.89,8.44,7.96,7.67
"Electricity price in the residential sector, Missouri (Dollars per million Btu)",20.65,20.53,20.7,20.39,20.43,20.75,21.8,22.54,23.45,25.04,26.6,28.56,29.8,31.08,31.18,32.84,32.85,34.09,33.24,32.65
"Electricity price in the commercial sector, Missouri (Dollars per million Btu)",17.1,17.29,17.27,16.94,17.01,17.36,17.81,18.58,19.37,20.41,21.99,23.58,24.03,25.8,26.08,26.85,27.14,27.76,27.55,26.59
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),3.3407482798950143,4.383581886385061,3.208229592455398,4.404720460937286,5.165075004009341,6.622120178523232,6.725091197834565,6.107107368190477,6.761077006723958,5.9253319929748525,5.263106319894544,5.146818343614195,4.732658016921374,4.546907253190849,5.333316644044857,4.301491787696604,3.961702385655556,4.439532021920337,4.321673518401897,4.22
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),5.287272983301585,7.250569091698514,5.628472969219997,6.830195616714844,8.14293655853833,9.677308265500503,11.23476548290065,10.88411432684146,11.248815542942973,10.583347936460749,9.946162024306384,10.575172049614126,11.000960286012683,9.91389797890109,10.02774639843851,10.753729469241511,10.27038485759995,11.295396807391269,10.185398724051742,10.41
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),4.6608826808212696,6.800438250284565,5.164123949259348,6.182442607753479,7.389234626622805,8.875321392668969,10.201955463069082,9.586455390705371,10.120566079803483,9.072640062897756,8.769000481120894,8.789182094479628,8.567278459474366,8.200834725193916,8.29627033518089,8.473197185247193,7.407069152327568,8.092797033478973,7.818300274199794,7.67
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),13.90855886690162,14.217209498812846,14.563673807856741,14.675204280802495,15.09620634219039,15.848788201194589,17.18722017734977,18.280770262817178,19.744365604941073,21.015625085565198,22.690215252705816,25.127031092926742,26.76151971617779,28.320215917669653,28.870280028006714,30.44417894568028,30.839318333835315,32.68761266247609,32.64827903447251,32.65
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),11.517499110121925,11.973480381611012,12.150466022303668,12.192151079783926,12.569088099885391,13.259516297481351,14.041485842137584,15.069064395880353,16.309098582844715,17.129748721900388,18.757813285977477,20.74563701579876,21.579842912072227,23.509059545555893,24.14807258275866,24.8911755387185,25.478815816751613,26.61801488736686,27.05956941635733,26.59
Inflation Adjustment Factor (2019),0.6735379596562528,0.692508986790689,0.7035591211524996,0.7197255655126285,0.7389234626622805,0.7637970217443175,0.7884045952912737,0.8110368350850568,0.8419772112981267,0.8392821519794409,0.853015611003978,0.8797980074554181,0.8980375743683823,0.9112038583548795,0.9259230284800101,0.9270456439001303,0.9387920345155347,0.9588622077581722,0.9821985269095219,1.0
