,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,LA,5.4,5.3,5.3,5.4,5.3,5.4,5.3,5.4,5.4,5.4
26,Number of Rooms: 1,LA,23660,24449,26713,27801,27620,30591,29789,28792,28317,30380
27,Number of Rooms: 2,LA,40249,35892,36562,35240,33058,37269,42632,39778,41995,43869
28,Number of Rooms: 3,LA,158790,157804,156609,157407,150503,153962,158894,155213,159751,159917
29,Number of Rooms: 4,LA,340523,364116,349208,340012,356900,343084,350880,352118,354877,356273
30,Number of Rooms: 5,LA,489676,501526,500408,498451,517556,524144,526761,510387,520433,514930
31,Number of Rooms: 6,LA,400581,393753,403955,388128,392521,393596,396657,414732,410162,402206
32,Number of Rooms: 7,LA,240500,234098,232109,245996,242359,238582,230037,253372,246908,253438
33,Number of Rooms: 8,LA,143000,135583,142493,147409,146504,149761,152474,154365,153788,159041
34,Number of Rooms: 9+,LA,130968,131753,139002,150523,144016,153748,148943,152825,159905,169770
