,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,LA,106018,109169,100828,92825,97083,91721,83050,93741,81747,87016
50,Year Built: 1950-1959,LA,205041,200992,200939,201074,202680,201431,199596,194059,197923,185727
51,Year Built: 1960-1969,LA,260478,253197,255471,263077,270128,265026,261041,260438,269362,248104
52,Year Built: 1970-1979,LA,387881,372404,380364,365030,379559,369255,377020,378213,373471,385076
53,Year Built: 1980-1989,LA,295119,302207,307315,303740,284873,292869,304360,297657,311822,296102
54,Year Built: 1990-1999,LA,256042,256684,245165,260218,247930,264037,254342,262496,259300,272221
55,Year Built: 2000-2009,LA,156777,161961,323714,319057,327026,311160,295449,298598,285972,300590
56,Year Built: 2010-2013,LA,161403,182301,30827,49383,63448,75983,82911,78850,82116,79414
57,Year Built: 2014 or later,LA,,,,,,14777.0,35591.0,55218.0,79475.0,104690.0
58,Year Built: before 1940,LA,139188,140059,142436,136563,138310,138478,143707,142312,134948,130884
