,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, New Mexico (Million cubic feet)",28579,24653,26429,26593,27394,21952,24019,27534,27846,26591,28145,29767,31433,31843,30868,28770,33689,36623,35877,35548,35921,34750,33499,31619,34339,33242,30435,33471,33996,32405,35253,34299,32515,36024,32374,33130,32577,29993,34438,42384,
"Natural gas consumed by (delivered to) the commercial sector, New Mexico (Million cubic feet)",24505,20446,21715,22413,22947,16733,20642,19939,31032,28459,23694,24993,27884,27898,24964,23934,26466,27403,27206,27103,27009,27133,25476,23745,25458,24186,23404,24876,25183,24701,25155,25035,24898,26790,25693,25038,24954,23624,25948,29661,
"Natural gas consumed by the industrial sector, New Mexico (Million cubic feet)",74074,57246,76416,68725,71380,58344,43603,61617,56415,60934,85181,64112,70767,66681,73473,73576,104609,90333,84702,81925,110693,109749,97025,98340,105626,102146,96554,101148,105026,102162,101138,106387,104473,98933,103881,105204,100433,101295,102596,108157,
"Natural gas consumed by the electric power sector, New Mexico (Million cubic feet)",56280,54560,44726,30626,30810,28133,20182,18454,21064,27365,25475,28156,22542,27786,32305,32029,35150,40256,45534,43018,46885,48981,37324,37849,30817,41207,55506,61050,68742,70102,70694,73379,74357,74817,76973,78337,81274,75459,98438,103430,
"Total energy consumption per capita in the residential sector, New Mexico (Million Btu)",51.7,46.3,48.5,49.8,50.6,50.7,48.2,49.2,49.4,50.1,52.3,52.1,52.1,51.1,48.9,47.8,51.6,54.2,53.8,54.6,55.5,56.6,56.3,55.3,56.9,60.3,57.9,60.3,59.7,56.6,58.2,58,55.4,58.7,55.8,56.2,56.2,53.5,57.4,63.1,
"Electricity consumed by (i.e., sold to) the residential sector, New Mexico (Million kilowatthours)",2453,2355,2419,2569,3039,3098,3144,3306,3394,3463,3566,3665,3791,3884,4080,4124,4328,4502,4642,4649,4937,4999,5238,5418,5635,5865,6009,6387,6379,6504,6752,6874,6764,6804,6612,6642,6643,6497,6826,6872,
"Electricity consumed by (i.e., sold to) the residential sector per capita, New Mexico (Kilowatthours)",1873,1767,1773,1842,2145,2154,2149,2236,2277,2302,2343,2357,2376,2374,2425,2397,2470,2537,2588,2571,2711,2729,2823,2886,2960,3035,3063,3210,3173,3193,3271,3304,3240,3251,3163,3178,3174,3104,3260,3273,
"Distillate fuel oil consumed by the residential sector, New Mexico (Billion Btu)",64,105,139,99,78,86,151,46,45,43,48,38,63,30,40,17,16,16,12,117,36,27,41,18,23,21,18,21,13,8,7,5,4,10,7,9,6,4,4,11,
"Propane consumed by the residential sector, New Mexico (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6274,5681,4878,5746,4895,4365,4831,4020,4438,4804,
"Distillate fuel oil consumed by the commercial sector, New Mexico (Billion Btu)",772,3969,3252,2835,2243,1862,1751,2578,2076,2085,2481,2028,1056,1651,1081,1409,1023,983,804,1838,1545,2036,1913,2333,2345,3656,1749,1093,3461,1564,1347,1384,1268,1264,1695,1717,1498,997,730,1713,
"Electricity consumed by (i.e., sold to) the commercial sector, New Mexico (Million kilowatthours)",3380,3299,3494,3470,4606,4664,4855,5171,5329,5699,5842,5872,6031,6226,6595,6641,6924,6839,7346,7435,8371,8455,8653,8063,8239,8411,8604,8932,8828,8734,9016,9258,9166,8983,8976,8877,8806,8784,9035,9029,
"Total energy consumption per capita in the commercial sector, New Mexico (Million Btu)",54.8,50.8,50.6,56.3,58.5,52.5,54.4,55.9,64.1,65.5,62.8,62,62.3,62.3,59.3,58.8,61.4,60.7,62.2,63.6,67.8,68.2,69.7,65.4,65.4,65.2,63.5,64.1,63,59.2,59.8,60.9,60.3,60.3,60.2,59.9,59.2,58.3,58.7,61.5,
