,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Rhode Island (Million cubic feet)",11940,12160,13294,11417,12950,13043,12329,13514,13609,13426,13960,14424,14823,13749,15041,14992,16100,16742,17678,18283,17724,17366,20000,19722,17384,17342,18839,18162,16461,16601,18655,17937,17545,20176,19470,19088,16869,17672,17692,17914,16942,16864,15883,18221,19724,20042,17200,18421,20523,19892,
"Natural gas consumed by (delivered to) the commercial sector, Rhode Island (Million cubic feet)",5064,4530,4734,4648,4397,4233,2895,3019,4783,6169,6751,6867,7156,6976,7466,7590,6718,9395,8352,8767,8071,8269,9080,9205,12049,12064,12298,12303,11477,11804,12974,12808,11468,11391,11289,11043,9950,11247,10843,10725,10458,10843,10090,11633,13178,12016,10744,11338,12732,12416,
"Natural gas consumed by the industrial sector, Rhode Island (Million cubic feet)",5743,6157,4302,4446,4493,5820,4826,9083,4638,5836,5087,5196,4929,5080,5390,4619,3452,4392,4453,4624,4381,26867,47917,9439,40917,35043,25810,24472,42278,34521,8039,6127,4455,4450,5530,5892,6395,6705,6775,7739,8033,7462,7841,8161,8008,8624,8474,8551,8817,8819,
"Natural gas consumed by the electric power sector, Rhode Island (Million cubic feet)",2319,2791,148,29,1919,11,635,0,0,1752,1679,2603,794,3079,3661,2532,0,5336,185,2147,9049,23292,38468,35884,38209,35823,62338,61914,60177,54804,48425,58417,53965,42010,35958,43912,43033,51397,52984,55379,57122,64198,60553,46362,44867,50005,46907,50820,57260,51551,
"Residential carbon dioxide emissions, natural gas, Rhode Island (million metric tons CO2)",,,,,,,,,,,0.756164,0.782108,0.815163,0.754678,0.821954,0.821582,0.87899,0.912681,0.963244,0.995821,0.965525,0.946319,1.078801,1.076679,0.953534,0.946531,1.099228,0.998208,0.897029,0.907534,1.036197,0.979638,0.958999,1.098432,1.060868,1.03365,0.910346,0.962554,0.961493,0.973218,0.919578,0.916129,0.868219,0.996882,1.076361,1.093286,0.940801,1.007175,1.121406,,
"Commercial carbon dioxide emissions, natural gas, Rhode Island (million metric tons CO2)",,,,,,,,,,,0.365667,0.372352,0.393521,0.38291,0.408006,0.415964,0.366781,0.512156,0.455067,0.477457,0.439734,0.450557,0.489766,0.502553,0.660874,0.658433,0.717591,0.676207,0.625432,0.645328,0.720669,0.699499,0.626865,0.620179,0.615086,0.598002,0.536933,0.612645,0.589247,0.582668,0.567653,0.589035,0.551577,0.636468,0.71913,0.655462,0.587656,0.619914,0.695679,,
"Industrial carbon dioxide emissions, natural gas, Rhode Island (million metric tons CO2)",,,,,,,,,,,0.275576,0.281731,0.271067,0.278813,0.294571,0.253133,0.188457,0.239445,0.242628,0.25186,0.238649,1.463993,2.584602,0.515286,2.244297,1.91264,1.506013,1.34504,2.303933,1.887226,0.446578,0.334628,0.24353,0.242257,0.301309,0.319083,0.345134,0.365189,0.368213,0.420421,0.43602,0.405353,0.428645,0.446525,0.437028,0.470453,0.463503,0.467535,0.481755,,
"Natural Gas Citygate Price in Rhode Island, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.23,4.32,3.86,3.16,3.43,3.68,3.71,3.68,3.82,4.41,4.17,3.57,4.41,4.49,3.78,4.19,4.36,6.4,5.01,7,7.33,8.69,9.96,10.62,10.07,6.7,10.05,8.22,4.11,4.01,4.03,3.14,2.12,2.22,2.37,2.49,2.59
"Rhode Island Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.83,1.93,2.05,2.37,2.55,3.09,3.36,4.23,4.18,3.67,5.69,6.61,7.95,8.66,7.5,7.87,7.46,6.81,6.6,7.13,7.22,7.63,7.68,8.17,9.12,8.02,8.49,9.61,9.56,9.53,9.83,12.17,11.81,11.85,13.24,14.79,17.58,16.66,16.89,17.06,16.48,15.33,14.29,14.55,15.14,14.24,13.8,14.02,15.65,15.36,15.06
"Rhode Island Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",1.47,1.62,1.82,1.89,2.13,2.75,3.39,3.46,3.28,3.09,5.11,5.83,6.86,7.1,6.53,6.67,6.39,5.53,5.8,6.41,6.2,6.03,6.32,7.1,7.57,6.41,7.5,8.21,8.12,8.03,8.55,10.69,10.06,10.34,11.77,13.32,15.94,14.91,15.53,15.14,14.46,13.33,12.31,12.37,12.89,11.99,11.16,11.3,12.98,12.87,12.31
