,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Maine (Million cubic feet)",555,573,585,541,540,525,542,528,568,638,648,722,872,901,894,913,967,1009,910,957,1037,954,1056,1211,1189,1149,985,1170,1101,1286,1234,1409,1487,1889,2357,2700,2566,2748,3079,3134,
"Natural gas consumed by (delivered to) the commercial sector, Maine (Million cubic feet)",864,1043,1192,1124,1124,1139,1214,1250,1461,1660,1678,1860,2209,2311,2381,2426,2566,2713,2456,2547,2770,2642,5167,4781,4811,4792,4701,5749,5878,5541,5830,6593,7313,8146,9030,10072,8559,8925,9586,9919,
"Natural gas consumed by the industrial sector, Maine (Million cubic feet)",747,705,840,754,781,856,708,852,1162,1374,2024,2207,2048,1753,1771,1993,2190,2525,2297,2550,12984,10929,23672,3315,16233,6500,17514,21640,25628,25923,28365,27734,30248,32308,24121,20972,18983,17698,19231,21024,
"Natural gas consumed by the electric power sector, Maine (Million cubic feet)",0,0,0,0,0,0,0,0,0,240,194,179,126,142,132,103,50,43,53,517,27180,80044,90769,60666,63245,48647,40341,33872,36594,36746,40392,33555,28456,20904,23848,18034,22366,13761,13747,9361,
"Total energy consumption per capita in the residential sector, Maine (Million Btu)",75.7,67.6,67.3,60,63,71.9,75.4,74.2,78.6,77.3,62.5,61.7,63,64.9,62.4,64.1,70.1,63.9,66.5,66.6,65.5,66.5,60.9,75.5,80,78.8,69.5,73.3,66.2,68,66.8,66.1,61.1,64.2,68.6,80.8,72.4,74.4,80,79,
"Electricity consumed by (i.e., sold to) the residential sector, Maine (Million kilowatthours)",2998,3033,3182,3218,3369,3419,3578,3726,3904,4009,3932,3817,3830,3872,3692,3629,3679,3659,3589,3704,3737,3903,4043,4219,4331,4503,4351,4413,4351,4360,4372,4382,4481,4662,4661,4662,4586,4639,4872,4794,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Maine (Kilowatthours)",2660,2677,2799,2811,2915,2940,3057,3145,3243,3286,3193,3086,3092,3117,2971,2918,2946,2916,2850,2924,2926,3036,3120,3229,3297,3415,3287,3326,3270,3279,3293,3298,3374,3509,3501,3508,3442,3473,3635,3562,
"Distillate fuel oil consumed by the residential sector, Maine (Billion Btu)",37119,30416,28784,18880,22206,31751,36902,36344,39810,36767,34872,34773,35773,35547,36530,44389,43935,43111,43948,43312,40483,39861,39271,52945,57485,49036,43124,41952,34618,31205,26971,29244,24252,25426,25972,32314,30611,31488,32098,30281,
"Propane consumed by the residential sector, Maine (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6013,5223,4915,5713,6562,6454,6549,6561,7827,8124,
"Distillate fuel oil consumed by the commercial sector, Maine (Billion Btu)",10721,10140,8253,8159,9596,6302,10141,9871,11925,10495,11683,9737,11617,14052,14842,13297,14105,13682,15993,16246,18758,14643,15835,22004,20236,16769,15131,16950,15382,12174,12640,13820,10389,8237,10050,8692,8187,8560,8731,9138,
"Electricity consumed by (i.e., sold to) the commercial sector, Maine (Million kilowatthours)",1717,1787,1831,1917,2276,2338,2490,2642,2744,2826,2847,2857,2900,3040,2962,2973,3276,3343,3388,3553,3876,3836,3848,3959,4325,4157,4134,4195,4148,4071,4101,4018,4053,4016,3985,4018,3986,3917,4447,4148,
"Total energy consumption per capita in the commercial sector, Maine (Million Btu)",33.7,31.8,32.6,34,39.5,37.2,43.9,40.7,49.6,51.2,46,45.6,42.4,43.7,42.2,34.4,41.4,38.3,39.1,40.2,45.3,41.7,42.7,48.6,48.8,48.9,44.4,53.4,53.6,48.1,47.7,47.7,46,44.4,47.5,51,47.2,49.1,52.7,50.2,
