State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MS,Electric Sales Price (Dollars),3.01,2.62,4.76,5.01,6.3,4.07,6.49,5.94,,,,,,,,,,,3.61,1.11,1.45,1.45,0.93
MS,Electric Transported Price (Dollars),,,,,,,,,,,,0.21,0.18,0.18,0.17,0.18,0.2,0.17,0.74,0.46,0.31,0.38,0.31
MS,Electric Sales Revenue (Dollars),1284964,1941383,838490,779968,1185743,190939,21053139,34573113,0,0,0,0,0,0,0,0,0,0,55106663,17106735,15243657,17590582,683895
MS,Electric Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,6688145,7733442,8092101,5093715,5603194,2667674,3318053,8444620,13511165,12621555,14542860,17447998
MS,Electric Total Customers,37,13,154,136,136,27,27,23,26,26,23,30,20,19,23,23,27,28,27,29,32,32,30
MS,Electric Sales Customers,3,2,139,115,117,3,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
MS,Electric Transported Customers,34,11,15,21,19,24,23,22,26,26,23,30,20,19,23,23,27,28,26,28,31,31,29
MS,Vehicle Fuel Total Volume (Mcf),6055842,12594,963,233,26,0,0,0,0,0,0,0,0,0,0,0,0,623,13504,24654,19378,37261,7247
MS,Vehicle Fuel Sales Volume (Mcf),3357,1343,963,233,26,0,0,0,0,0,0,0,0,0,0,0,0,623,12538,23822,19378,37261,7247
MS,Vehicle Fuel Transported Volume (Mcf),6052485,11251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,832,0,0,0
MS,Vehicle Fuel Sales Price (Dollars),2.76,2.79,2.91,3.75,7.85,,,,,,,,,,,,,8.33,10.12,9.98,11.76,11.77,9.38
MS,Vehicle Fuel Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
MS,Vehicle Fuel Sales Revenue (Dollars),9280,3751,2807,873,204,0,0,0,0,0,0,0,0,0,0,0,0,5190,152355,306229,249941,484836,94600
MS,Vehicle Fuel Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,Vehicle Fuel Total Customers,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,26,5,4
MS,Vehicle Fuel Sales Customers,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,26,5,4
MS,Vehicle Fuel Transported Customers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
