,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Mississippi (Million cubic feet)",36642,40196,39334,31422,28900,29530,26584,25949,30387,36987,29485,28324,27516,27552,28760,25714,25282,26599,26889,26312,25045,25756,26487,28347,27086,26960,30157,27626,24847,24562,27033,27920,26457,26589,24136,24464,21481,22227,23843,23433,27152,24303,19572,25185,28261,23248,20185,18446,24426,22118,
"Natural gas consumed by (delivered to) the commercial sector, Mississippi (Million cubic feet)",23846,25853,24604,23701,25504,23922,20214,19304,21312,27224,20886,19267,17213,17158,17860,16591,16891,17922,18108,17568,17548,17743,17942,19199,19232,19904,22225,22070,21358,20208,21673,21585,21221,22933,22130,20882,19425,20774,20181,19095,21179,20247,17834,19483,22195,19727,18135,17643,21039,19935,
"Natural gas consumed by the industrial sector, Mississippi (Million cubic feet)",140849,148627,155442,141269,129395,106742,88992,82393,77120,83906,78812,80274,104168,115371,126740,105470,96386,90526,100010,102811,108058,109207,107557,104996,89617,88033,84470,87619,82350,124055,120393,103367,105532,94213,106456,99254,104347,110751,114958,109492,127032,116108,116773,117964,119973,125735,118737,130349,137008,134439,
"Natural gas consumed by the electric power sector, Mississippi (Million cubic feet)",99710,104197,100723,60224,42092,31507,32809,39080,43246,64183,95073,74559,83196,49773,62682,53579,47613,41119,33261,44927,65168,62409,54180,39979,82610,111309,83332,73170,76447,106302,100643,149432,163664,96081,107432,135562,139918,182996,167345,183344,235250,244051,291341,234274,236533,330718,367040,340862,367855,361185,
"Residential carbon dioxide emissions, natural gas, Mississippi (million metric tons CO2)",,,,,,,,,,,1.61791,1.546337,1.504687,1.500496,1.573077,1.397831,1.369976,1.433167,1.4485,1.436987,1.372205,1.407965,1.479379,1.538749,1.481607,1.460597,1.646985,1.518323,1.386848,1.357667,1.496092,1.513866,1.454283,1.461552,1.317238,1.335118,1.167512,1.213512,1.299729,1.271132,1.468768,1.310712,1.054554,1.353104,1.541402,1.265189,1.100077,1.013064,1.334216,,
"Commercial carbon dioxide emissions, natural gas, Mississippi (million metric tons CO2)",,,,,,,,,,,1.146077,1.051848,0.941278,0.934434,0.976879,0.90191,0.915281,0.965684,0.9755,0.959424,0.96144,0.969982,1.002134,1.042139,1.052008,1.078324,1.213777,1.212928,1.19213,1.117002,1.199452,1.170377,1.166451,1.260573,1.207782,1.139604,1.055775,1.134139,1.100077,1.035825,1.145653,1.091959,0.960909,1.046755,1.210541,1.073602,0.98834,0.968921,1.144698,,
"Industrial carbon dioxide emissions, natural gas, Mississippi (million metric tons CO2)",,,,,,,,,,,4.324543,4.382481,5.696376,6.283236,6.932278,5.733516,5.222845,4.877659,5.387533,5.614775,5.920434,5.969936,6.0075,5.699453,4.902065,4.76937,4.61333,4.815529,4.596352,6.857203,6.662803,5.604588,5.800845,5.178808,5.809917,5.416767,5.671333,6.046497,6.266523,5.939429,6.871634,6.26196,6.291778,6.337884,6.543532,6.842718,6.471162,7.158724,7.424538,,
"Natural Gas Citygate Price in Mississippi, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.74,3.54,3.36,3.38,3.29,3.08,2.89,2.55,2.62,2.9,2.83,2.53,3.27,3.39,3,2.88,4.66,6,4.22,6.19,6.44,8.85,9.13,8.47,9.91,6.56,5.73,5.29,3.97,4.44,5.29,3.86,3.78,4.39,4.21,3.77,3.35
"Mississippi Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.88,0.94,1.08,1.09,1.23,1.41,1.71,2.11,2.4,2.83,3.47,3.99,4.93,5.88,5.52,5.46,5.59,6.1,5.85,5.1,5.33,5.21,4.95,5.23,5.46,5.28,5.72,6.35,6.08,5.99,7.49,10.32,7.76,9.74,10.56,13.31,14.65,13.04,13.96,11.25,10.19,9.47,9.6,9.0,9.51,9.7,10.06,11.83,10.44,10.77,
"Mississippi Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.58,0.63,0.68,1.99,0.75,0.94,1.29,1.77,2.03,2.46,3.07,3.57,4.53,5.47,5.14,5.07,4.98,5.29,5.02,4.73,4.48,4.28,4.13,4.38,4.56,4.28,5.22,5.26,4.74,4.88,6.51,8.16,6.45,7.74,8.84,12.03,12.25,11.12,12.48,9.48,8.75,7.99,7.37,7.61,8.36,7.87,7.8,8.82,8.5,8.48,
