,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Washington (Million cubic feet)",29734,26847,29143,25998,29242,33000,30217,29799,34981,38358,40346,46222,43048,53258,53144,52763,62689,61813,61936,71704,71779,84416,73347,71110,70932,73626,75491,80152,84509,84143,75554,85393,79892,83365,78750,71907,76321,91028,83567,89967,
"Natural gas consumed by (delivered to) the commercial sector, Washington (Million cubic feet)",30754,28629,30559,28728,32371,35459,32022,32366,36674,38502,38671,41738,37800,43620,42982,42568,48139,46686,45561,50735,50462,57160,46455,47845,48455,49745,51292,53689,56205,55697,51335,56487,53420,55805,54457,49939,51634,60096,57014,61010,
"Natural gas consumed by the industrial sector, Washington (Million cubic feet)",63678,66691,47119,50883,62790,63176,54027,65706,69418,73239,78424,79735,79766,92274,107603,109997,114236,111159,133106,124371,83748,75017,67717,65884,67812,66874,70758,73572,75748,71271,71280,76289,78196,80889,79439,76527,79275,80656,77303,78490,
"Natural gas consumed by the electric power sector, Washington (Million cubic feet)",941,491,121,30,32,77,124,93,1753,8320,191,1145,11267,27985,42583,40252,41730,27725,40373,32639,74400,86184,39552,57880,66068,65809,58800,57294,74580,91308,79535,39265,43336,87671,84531,96897,81728,80589,76549,105832,
"Total energy consumption per capita in the residential sector, Washington (Million Btu)",83.8,91.7,93.2,86.5,84.6,87.7,80.9,77.5,80.8,85.2,82.7,83.4,75.5,84.6,78.6,79,81.1,78.8,77.4,81.5,82.5,85,80,76.7,77.9,75.1,77.9,75.6,77.8,77.3,72.9,74.9,69.7,70.9,68.2,62.9,62.3,67.8,63.7,65.2,
"Electricity consumed by (i.e., sold to) the residential sector, Washington (Million kilowatthours)",24445,28475,29157,27266,26725,27933,26503,25773,27203,28653,28809,29889,28436,30932,29673,30147,32012,31749,31362,32817,33036,31608,32066,31872,32455,33212,34439,35389,36336,36768,34907,36376,35511,35983,35083,34072,34212,37283,35339,36512,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Washington (Kilowatthours)",5884,6723,6818,6340,6153,6348,5952,5687,5863,6037,5876,5947,5510,5860,5520,5500,5748,5595,5436,5617,5589,5281,5298,5221,5253,5308,5406,5477,5537,5515,5177,5328,5148,5165,4971,4754,4687,5019,4695,4795,
"Distillate fuel oil consumed by the residential sector, Washington (Billion Btu)",19932,17474,18916,15688,18392,17531,18155,14951,16394,16175,15580,14390,12139,13108,13714,11660,12817,10775,10224,11005,10106,11034,11034,8729,7878,7273,7133,6374,5880,5614,5465,5025,3644,3498,3767,3526,3535,4803,3493,3624,
"Propane consumed by the residential sector, Washington (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9039,9093,6938,6991,6736,5866,7294,8797,8658,10895,
"Distillate fuel oil consumed by the commercial sector, Washington (Billion Btu)",6250,4335,11593,10052,11785,24197,14301,11504,14327,10065,10862,9338,5419,5834,6494,7355,5756,6327,4983,5530,5247,7006,6724,6396,4341,6042,5905,4532,7738,5879,8812,6761,6760,6773,7472,7469,7514,4248,7918,4295,
"Electricity consumed by (i.e., sold to) the commercial sector, Washington (Million kilowatthours)",13845,17842,18144,18246,17999,18965,18816,19698,20706,20637,21510,21967,22532,22959,23377,23912,25147,25209,25876,26695,28047,27528,27528,28039,28226,28100,28580,29599,29878,30069,28833,29409,29240,29659,29040,29267,28989,29800,29396,29270,
"Total energy consumption per capita in the commercial sector, Washington (Million Btu)",50.1,58.6,61.9,61.1,60.9,65.1,58.5,59.5,62.5,61.7,62.1,61.3,58.1,61,59.4,60.5,60.6,59.5,60.2,62.6,65.6,67.5,61.8,61.5,61.8,59.8,61.4,59.5,60.7,59.1,56.7,56.6,54.5,54.9,53.4,51.4,50,51,50.1,48.6,
