,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2,House Heating Fuel: Electric,PA,997925,1019764,1046982,1086074,1087741,1103995,1133797,1158937,1198450,1222377
3,House Heating Fuel: Fuel Oil,PA,993832,973749,936674,870064,858758,837082,805822,790353,806761,792365
4,House Heating Fuel: Gas,PA,2530446,2516883,2530063,2516052,2528694,2549385,2551248,2598275,2592386,2634591
5,House Heating Fuel: Propane,PA,177562,178387,188880,195799,198296,200754,209719,222650,225476,235490
6,House Heating Fuel: Wood,PA,126074,137625,145089,148597,148256,141835,125583,127198,128110,117969
