,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,NV,12020,15049,14268,11962,16073,13384,12446,14337,14703,15268
50,Year Built: 1950-1959,NV,36733,37909,35739,38153,34746,35194,35414,37645,36003,35677
51,Year Built: 1960-1969,NV,68015,66984,76636,70920,75084,75239,78302,73241,69785,75269
52,Year Built: 1970-1979,NV,172822,176775,172756,164558,157145,153955,155126,162406,166847,166799
53,Year Built: 1980-1989,NV,199714,175875,193865,188099,188385,185404,187077,197064,189808,184117
54,Year Built: 1990-1999,NV,310211,309567,306752,307062,331206,330712,337954,338375,334116,347597
55,Year Built: 2000-2009,NV,222757,238783,357108,367611,357940,363885,338399,330085,340853,326736
56,Year Built: 2010-2013,NV,139171,147953,11581,22885,26623,31383,41613,44313,42449,43718
57,Year Built: 2014 or later,NV,,,,,,7777.0,20976.0,39913.0,59883.0,76492.0
58,Year Built: before 1940,NV,13627,15022,14137,15686,11767,12931,14452,12354,14270,14008
