,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Michigan (Million cubic feet)",340033,343773,355266,341607,346116,334866,339417,299199,328260,369378,387279,361752,358778,340732,338996,341026,330240,314293,348512,361667,327396,337205,358088,369801,364588,380025,399522,379838,319701,350735,367728,343682,367765,385568,362024,358623,315769,328432,341754,327113,304330,318004,276778,334211,354713,312098,294152,299158,326962,332254,
"Natural gas consumed by (delivered to) the commercial sector, Michigan (Million cubic feet)",132708,146217,159970,180274,189192,181949,178220,131266,142935,182316,190268,174722,170269,159916,160952,157758,135592,185956,167900,176182,159429,165558,173802,180230,183068,194078,201390,192258,163368,179351,186800,173734,176010,186129,175190,174625,153896,163740,172108,163683,152350,163567,144609,171519,186413,168360,158613,162634,180333,181825,
"Natural gas consumed by the industrial sector, Michigan (Million cubic feet)",261746,275297,274516,324055,320797,300434,305092,267067,278440,273753,248857,231532,192975,175316,197724,189778,179813,134181,199409,200984,289709,281582,312690,247191,239739,254125,259931,255398,224368,248258,247174,233241,249503,222359,218675,222133,198803,156249,148611,137031,151661,158243,167193,179152,187838,178347,178484,176262,182340,179302,
"Natural gas consumed by the electric power sector, Michigan (Million cubic feet)",64270,69809,58899,62392,68987,56710,53510,32151,36384,37860,26368,19230,12727,12618,9711,10126,10945,10754,15027,21577,85036,83577,93676,97533,101858,122976,140030,142946,148126,150258,134870,133054,146133,103319,133186,130601,109230,123641,93453,83805,113245,112783,181235,110694,111819,166202,242787,213463,254337,276086,
"Residential carbon dioxide emissions, natural gas, Michigan (million metric tons CO2)",,,,,,,,,,,20.950698,19.69161,19.572923,18.782431,18.396603,18.510569,18.192335,17.196621,19.223491,20.128744,18.141082,18.526274,19.662588,20.305741,20.026663,20.977863,21.920574,20.96513,17.760348,19.382078,20.219259,18.800789,19.921558,21.069015,19.69108,19.311247,17.055225,17.811494,18.570205,17.731644,16.410586,17.105045,14.932799,18.104155,19.169002,17.107804,16.273753,16.596285,18.169786,,
"Commercial carbon dioxide emissions, natural gas, Michigan (million metric tons CO2)",,,,,,,,,,,10.29294,9.510832,9.288949,8.815153,8.73456,8.562975,7.46953,10.174624,9.261147,9.805456,8.833988,9.095876,9.543462,9.896395,10.05583,10.713361,11.049688,10.611652,9.075608,9.911145,10.271028,9.503988,9.534336,10.170857,9.528818,9.403233,8.312176,8.879935,9.35198,8.872666,8.215241,8.798069,7.801983,9.291124,10.073922,9.22873,8.775148,9.022392,10.021821,,
"Industrial carbon dioxide emissions, natural gas, Michigan (million metric tons CO2)",,,,,,,,,,,13.462439,12.60324,10.527663,9.66406,10.730074,10.300952,9.905574,7.341716,10.999178,11.185831,16.052825,15.470316,17.169774,13.573275,13.168718,14.028023,14.261632,14.096679,12.464284,13.719021,13.590677,12.759226,13.51539,12.150613,11.894084,11.961466,10.737714,8.47368,8.075225,7.427933,8.178102,8.511722,9.020429,9.704648,10.150908,9.776168,9.874482,9.778397,10.1256,,
"Natural Gas Citygate Price in Michigan, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.07,4.22,4.07,3.97,3.41,3.24,3.12,3.08,3.04,2.89,2.7,2.61,2.9,2.99,2.8,2.83,3.23,4.08,4.1,5.32,6.34,8.44,8.34,8.06,9.22,7.24,7.07,6.18,5.5,4.91,5.54,4.23,3.57,3.57,3.48,3.17,
"Michigan Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.01,1.06,1.1,1.18,1.37,1.62,1.9,2.22,2.31,2.64,3.19,3.84,4.79,5.84,5.97,6.29,5.74,5.46,5.34,5.19,5.02,5.07,5.06,5.04,4.98,4.72,4.96,5.2,5.17,5.13,5.11,5.77,6.32,7.31,8.52,10.55,11.97,11.06,11.93,11.27,11.32,10.47,9.95,9.09,9.33,8.81,8.21,8.38,8.19,8.08,8.25
"Michigan Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.84,0.87,0.9,0.96,1.13,1.48,1.82,2.12,2.23,2.58,3.19,3.83,4.66,5.63,5.57,5.74,5.23,5.03,5.0,4.85,4.63,4.7,4.65,4.66,4.68,4.46,4.75,5.0,4.9,4.87,4.8,5.44,5.97,6.93,7.98,9.38,10.75,10.02,10.66,9.38,8.95,9.14,8.35,7.82,8.28,7.51,6.9,7.02,6.91,6.81,6.87
