,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,MI,60592.866,27.5,21629,599.0,1927.0,1110.0,5318.0,13201.0,5933.0,4960.0,12932.0,6776.0,6925.0,905.0
1,Statewide Total,,Cooperative,MI,626.977,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,165.0,32.0,5.0
2,Statewide Total,,Privately Owned,MI,184.42,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,31.0,70.0,6.0
3,Statewide Total,,Investor Owned,MI,59781.469000000005,31.555555555555557,21629,599.0,1927.0,1110.0,5318.0,13201.0,5933.0,4960.0,12432.0,6580.0,6822.0,893.0
4,Statewide Total,,Municipal Owned,MI,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,UPPER MICHIGAN ENERGY RESOURCES CORP.,39602,Investor Owned,MI,102.0,36.0,32,0.0,0.0,0.0,1.0,27.0,29.0,6.0,13.0,11.0,15.0,0.0
6,AMERIGAS PROPANE LP,32013,Privately Owned,MI,33.1,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,27.0,0.0
7,"SUPERIOR ENERGY CO, LLC",31342,Privately Owned,MI,151.32,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7,25.56,43.9,6.16
8,WISCONSIN GAS LLC DBA WE ENERGIES,22763,Investor Owned,MI,0.042,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0
9,SEMCO ENERGY GAS COMPANY,18472,Investor Owned,MI,6391.4,31.0,1490,74.1,44.6,7.4,184.0,1215.0,510.0,827.3,1666.4,774.0,952.2,136.7
10,PRESQUE ISLE ELECTRIC & GAS COOPERATIVE,15845,Cooperative,MI,626.977,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.195,165.03,32.088,5.79
11,NORTHERN STATES POWER CO OF WISCONSIN,13783,Investor Owned,MI,141.9,29.0,23,51.0,0.0,0.0,0.0,22.6,6.0,4.1,30.7,4.6,23.0,0.0
12,MICHIGAN GAS UTILITIES CO,12420,Investor Owned,MI,4035.5,37.0,1503,0.0,0.0,3.45,346.73,1073.84,508.53,372.68,800.74,433.4,446.91,49.09
13,DTE GAS COMPANY,12408,Investor Owned,MI,20350.797,39.0,6912,107.889,1343.816,695.341,1911.455,3285.635,2164.326,1449.975,4389.863,2013.682,2468.615,519.871
14,CONSUMERS ENERGY CO,2748,Investor Owned,MI,28065.4,39.0,11669,96.803,538.776,404.721,2875.436,7577.394,2715.848,2256.557,5251.722,3270.899,2893.114,184.132
15,CITIZENS GAS FUEL CO,2408,Investor Owned,MI,472.0,22.0,0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,32.0,16.0,3.0
16,AURORA GAS CO,885,Investor Owned,MI,222.43,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,129.5,40.5,8.067,0.36
