,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, South Carolina (Million cubic feet)",18930,19607,20627,22758,20383,18211,33231,31875,28214,17675,18866,18980,17548,18741,19246,16434,17440,20200,20790,20472,18396,19612,22392,24345,23486,25164,29406,25741,25430,25669,29057,27485,27621,29154,29314,28537,24928,25158,27100,27160,32430,26851,22834,28642,31904,28414,27562,25538,31994,28871,
"Natural gas consumed by (delivered to) the commercial sector, South Carolina (Million cubic feet)",13850,14371,14137,16053,14820,17202,35062,32117,24681,17943,22885,19436,15560,16548,16635,15270,15894,17195,17472,16525,15394,15796,16644,17014,17870,18868,20328,19560,19828,20566,22105,20743,21029,22365,22255,22048,20691,20927,22283,21953,24119,22113,21416,23862,25398,23752,23734,23128,25551,24926,
"Natural gas consumed by the industrial sector, South Carolina (Million cubic feet)",78698,79256,81841,85695,73114,70329,73501,68892,55611,75626,92046,95304,61595,62767,69526,63038,61455,65340,69177,74534,86831,85790,94327,95557,97362,98332,95493,102929,102324,102635,97295,79674,96268,78807,78421,74002,77171,76286,71924,64655,73397,76973,81165,83730,83443,84898,88148,92198,96485,94907,
"Natural gas consumed by the electric power sector, South Carolina (Million cubic feet)",45081,39834,24509,25117,21510,14566,3793,2504,5184,5177,5417,5008,517,942,435,483,1386,538,2378,2705,6975,9823,1795,1851,3005,6615,1206,2731,8703,10453,8501,10944,36710,13483,31266,45011,49716,50710,46154,74302,86830,100144,116010,93516,87330,136111,133646,135543,173518,182861,
"Residential carbon dioxide emissions, natural gas, South Carolina (million metric tons CO2)",,,,,,,,,,,1.034127,1.030201,0.958999,1.021182,1.047657,0.896339,0.953163,1.101775,1.132707,1.114508,1.003567,1.068773,1.220197,1.329229,1.284926,1.371356,1.607139,1.408336,1.395337,1.401333,1.585598,1.513813,1.51376,1.603797,1.610217,1.57122,1.372576,1.383453,1.485693,1.48617,1.759624,1.455238,1.235159,1.547026,1.732406,1.55334,1.508401,1.345093,1.672611,,
"Commercial carbon dioxide emissions, natural gas, South Carolina (million metric tons CO2)",,,,,,,,,,,1.254419,1.054926,0.850339,0.901698,0.905571,0.832884,0.868644,0.937883,0.951943,0.899629,0.839781,0.860791,0.906951,0.928969,0.977675,1.028238,1.111007,1.070153,1.08798,1.122785,1.206296,1.142469,1.152497,1.230331,1.222426,1.213937,1.139339,1.150799,1.221577,1.201256,1.308696,1.198444,1.158439,1.288853,1.379155,1.298456,1.298933,1.255957,1.377882,,
"Industrial carbon dioxide emissions, natural gas, South Carolina (million metric tons CO2)",,,,,,,,,,,5.045424,5.172813,3.366074,3.420139,3.784744,3.438231,3.358752,3.563816,3.768986,4.057509,4.737058,4.6753,5.140077,5.217433,5.326677,5.358936,5.218919,5.631435,5.61451,5.603102,5.309381,4.388264,5.275902,4.335313,4.307565,4.07454,4.249202,4.195031,3.943012,3.537819,3.982486,4.171687,4.390386,4.522444,4.531092,4.641185,4.82423,5.019532,5.219768,,
"Natural Gas Citygate Price in South Carolina, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.02,3.87,3.24,3.13,3.46,3.46,3.14,2.95,3.23,3.54,3.67,3.25,3.9,3.81,3.39,3.46,5.09,6.16,4.91,6.71,7.66,10,9.51,9.1,10.27,6.7,6.17,5.67,4.57,5.11,5.22,3.9,3.64,4.13,4.36,3.86,3.26
"South Carolina Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.35,1.47,1.62,1.65,1.97,2.13,2.29,2.87,3.0,3.5,4.19,4.9,5.51,6.38,6.62,6.62,6.54,6.59,6.73,6.73,7.17,6.98,7.03,7.14,7.65,7.54,7.41,8.37,8.3,8.46,9.15,12.09,9.73,11.02,12.0,14.84,17.36,17.15,16.84,14.91,13.01,12.93,13.25,12.61,12.65,12.62,12.62,14.47,13.46,13.14,
"South Carolina Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.89,0.98,1.01,1.02,1.13,1.25,1.48,2.12,2.46,2.78,3.21,3.96,4.81,5.53,5.86,5.76,5.63,5.6,5.59,5.65,5.9,5.56,5.65,5.82,6.11,6.09,6.26,6.74,6.48,6.54,7.72,10.03,7.92,9.6,10.81,13.74,14.09,13.54,14.26,11.16,10.34,9.68,8.67,9.1,9.55,8.52,8.42,9.32,9.37,8.58,8.57
