,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, South Dakota (Million cubic feet)",10558,9758,11584,10648,10994,11357,10557,9288,10687,11342,10204,11218,10791,12431,12056,12610,14085,13203,11646,11766,12608,12335,12897,13175,12281,12212,11514,12402,13566,13595,12815,12961,10742,13920,14213,11751,11663,12146,14280,14809,
"Natural gas consumed by (delivered to) the commercial sector, South Dakota (Million cubic feet)",8507,8188,9384,8651,9128,9987,9166,8199,8396,8826,8555,9473,9122,10696,10274,10685,11598,10422,9264,9564,10119,9711,10258,10375,9958,9819,9525,10337,11362,11563,11025,11101,9330,12151,12310,10434,10439,10813,12573,13405,
"Natural gas consumed by the industrial sector, South Dakota (Million cubic feet)",4678,3989,3975,3855,4314,3604,3421,3398,4791,5074,5951,5051,4939,5428,5944,7338,7606,7839,6455,5906,5326,4749,11079,11734,11529,11206,10934,21274,33011,36869,41317,41262,41298,44955,45004,44914,44595,45667,46997,46037,
"Natural gas consumed by the electric power sector, South Dakota (Million cubic feet)",259,55,30,45,52,26,41,77,223,132,235,177,48,186,159,931,725,1731,2865,2527,3607,4496,1265,2264,1676,3567,3345,4235,2632,918,1600,1589,2465,4071,3865,6128,7410,5713,9099,9099,
