,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,MA,163686,170144,165400,167473,166055,160573,160122,154240,155338,154436
50,Year Built: 1950-1959,MA,322661,326003,330744,328067,306034,327334,325673,326571,326559,326259
51,Year Built: 1960-1969,MA,290026,293682,286358,289714,298825,289958,285125,295735,303817,295244
52,Year Built: 1970-1979,MA,327292,326882,328274,321435,338356,329355,339086,317939,343245,354549
53,Year Built: 1980-1989,MA,303013,295614,296480,304993,303786,304109,305688,312436,316645,318347
54,Year Built: 1990-1999,MA,204442,202665,204355,215847,215618,209385,215062,234732,221346,216552
55,Year Built: 2000-2009,MA,115540,117581,216529,214422,206353,209634,199071,210273,197627,203499
56,Year Built: 2010-2013,MA,90420,104666,14230,25106,33653,45846,48718,49360,52730,47797
57,Year Built: 2014 or later,MA,,,,,,6437.0,28163.0,46454.0,66463.0,87722.0
58,Year Built: before 1940,MA,991647,981791,968024,946584,959912,963174,951379,946850,931273,924413
