,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Minnesota (Million cubic feet)",101764,102325,107119,102671,112922,114416,105760,100483,106827,112332,103387,95955,107660,97615,101910,106647,103303,89943,109669,116909,106966,117148,113560,123401,122249,128736,142319,128873,110449,118938,129804,124891,135213,137953,132893,128625,117153,128842,139489,133319,122993,125160,109103,139897,146647,117588,117598,123898,141400,144577,
"Natural gas consumed by (delivered to) the commercial sector, Minnesota (Million cubic feet)",76585,76441,79987,80219,90412,89651,76981,67839,81121,60509,63780,66755,74309,70713,75175,77020,74478,65923,79989,85183,78015,85875,82381,86629,83933,90658,98537,92232,82345,88061,95358,93844,104387,101446,96541,95916,87170,91275,99526,96218,89963,94360,83174,105937,110884,93005,92591,99756,110026,113428,
"Natural gas consumed by the industrial sector, Minnesota (Million cubic feet)",97569,122034,105065,114976,106236,100539,120059,116208,120086,143365,101473,87831,68116,65212,69977,66301,57847,71967,77710,81479,88359,92251,93025,97771,94468,106189,102456,107322,104610,104187,105875,92452,95671,94772,97103,94989,103009,113504,143837,128361,158457,157776,159947,160732,173569,157401,162818,165901,161560,162437,
"Natural gas consumed by the electric power sector, Minnesota (Million cubic feet)",58954,42773,51769,57506,38468,22709,13443,5205,1536,6966,8077,5553,3274,2861,1978,1275,1734,5700,5217,4427,5308,5870,4906,3942,5849,8323,5296,6117,12974,11334,9895,10610,13181,16752,12773,26024,24911,34790,24900,23665,36076,28244,57190,49640,30437,53096,65227,49052,63110,86744,
"Residential carbon dioxide emissions, natural gas, Minnesota (million metric tons CO2)",,,,,,,,,,,5.4694,5.065691,5.741103,5.298982,5.423346,5.681043,5.475448,4.767407,5.85979,6.239093,5.6968,6.289762,6.091118,6.619031,6.557273,6.919438,7.687805,6.9613,5.969936,6.43068,6.989685,6.703657,7.22462,7.379227,7.100361,6.908031,6.319527,6.973185,7.575537,7.286803,6.590646,6.707689,5.898204,7.590234,8.032992,6.477635,6.457474,6.775602,7.84602,,
"Commercial carbon dioxide emissions, natural gas, Minnesota (million metric tons CO2)",,,,,,,,,,,3.374086,3.524183,3.96259,3.838597,4.000579,4.102819,3.947628,3.494206,4.27398,4.545948,4.154921,4.610677,4.418718,4.646597,4.50207,4.872777,5.322751,4.982074,4.450871,4.761252,5.134877,5.037147,5.577529,5.426424,5.158063,5.151325,4.702147,4.94,5.405201,5.258977,4.820729,5.057043,4.496446,5.747682,6.07398,5.123417,5.084314,5.455393,6.203598,,
"Industrial carbon dioxide emissions, natural gas, Minnesota (million metric tons CO2)",,,,,,,,,,,5.368167,4.636834,3.632366,3.539994,3.723941,3.531823,3.066092,3.814562,4.152162,4.348312,4.705808,4.952999,4.989661,5.244227,5.067124,5.707571,5.5345,5.797184,5.654355,5.633132,5.701151,4.962443,5.111798,5.069405,5.188146,5.101505,5.556572,6.143113,7.811692,7.015789,8.49103,8.455694,8.64691,8.720659,9.507755,8.670839,8.940579,9.072637,8.882906,,
"Natural Gas Citygate Price in Minnesota, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.21,3.93,3.31,2.72,2.79,2.72,2.83,2.63,2.92,3.11,2.85,2.52,3.07,3.67,2.98,3.06,4.73,5.84,4.03,6.04,6.84,8.52,8.35,7.87,8.37,5.68,5.48,5.04,4.26,4.58,6.56,4.39,3.71,4.24,4.03,3.82,
"Minnesota Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.1,1.18,1.23,1.3,1.41,1.57,1.74,2.13,2.41,2.86,3.22,4.09,4.96,5.9,6.0,5.8,5.28,4.58,4.64,4.57,4.63,4.52,4.86,5.31,5.18,4.8,5.46,5.76,5.48,5.56,7.13,8.74,6.61,8.58,9.5,11.21,11.67,11.14,11.29,8.99,8.76,8.85,7.99,8.19,9.89,8.79,8.01,8.47,8.69,8.06,
"Minnesota Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.7,0.76,0.83,0.85,0.98,1.16,1.41,1.72,2.02,2.59,2.88,3.64,4.55,5.27,5.38,5.2,4.62,3.89,4.03,4.0,3.98,3.81,4.1,4.52,4.36,3.98,4.63,4.8,4.39,4.44,6.1,7.52,5.57,7.6,8.43,10.16,10.31,10.14,10.52,7.96,7.6,7.46,6.36,6.86,8.66,7.31,6.44,6.8,7.08,6.63,
