,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,AL,104404,104646,95525,99785,97962,91049,95099,4575,92027,87497
50,Year Built: 1950-1959,AL,197347,194083,205087,199996,198851,202417,191163,15142,194977,185539
51,Year Built: 1960-1969,AL,262446,258832,261356,250347,249224,259558,260860,27776,252163,248353
52,Year Built: 1970-1979,AL,374449,376643,380204,376102,376494,388115,363038,73767,360348,371378
53,Year Built: 1980-1989,AL,342516,327310,329712,327134,334780,313832,320499,80232,330334,351944
54,Year Built: 1990-1999,AL,405369,395218,396185,409258,405161,385802,411110,41399,423477,400393
55,Year Built: 2000-2009,AL,203480,203565,359906,362275,364224,363619,355056,55690,342493,335657
56,Year Built: 2010-2013,AL,156354,191880,35512,48199,59554,78975,88665,8538,87959,81097
57,Year Built: 2014 or later,AL,,,,,,10498.0,29171.0,4480.0,80310.0,107319.0
58,Year Built: before 1940,AL,128063,130022,126080,116931,121780,124526,115519,5369,110623,115745
