,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
322,OK,40067,Jefferson,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.00023892580000000002,TON
343,OK,40111,Okmulgee,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.001986803,TON
2064,OK,40107,Okfuskee,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,13.801687787,TON
2371,OK,40127,Pushmataha,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.1902733,TON
2978,OK,40029,Coal,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.004,TON
4707,OK,40045,Ellis,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
4956,OK,40141,Tillman,Commercial Cooking,Carbon Monoxide,CAP,0.61896425,TON
6081,OK,40085,Love,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.005284116,TON
9041,OK,40147,Washington,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.07245915,TON
9614,OK,40077,Latimer,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,0.0,TON
10757,OK,40109,Oklahoma,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.01109408,TON
11760,OK,40003,Alfalfa,Fuel Comb - Residential - Oil,Ammonia,CAP,0.0,TON
12472,OK,40061,Haskell,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.0,TON
13427,OK,40081,Lincoln,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.07704707,TON
14327,OK,40093,Major,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.008884118,TON
14852,OK,40151,Woods,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,1.504509,TON
18188,OK,40013,Bryan,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.0034502779999999998,TON
18381,OK,40035,Craig,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.01705956,TON
18706,OK,40085,Love,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.02583944,TON
18874,OK,40113,Osage,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.0020358760000000003,TON
19877,OK,40117,Pawnee,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.01446549,TON
21066,OK,40151,Woods,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.0,TON
21182,OK,40125,Pottawatomie,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.0,TON
23901,OK,40059,Harper,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.010191500000000001,TON
24605,OK,40097,Mayes,Fuel Comb - Residential - Wood,Ammonia,CAP,3.598930325,TON
25951,OK,40029,Coal,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,1.26746547,TON
29593,OK,40091,McIntosh,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,10.39078,TON
30812,OK,40129,Roger Mills,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.0024371370000000002,TON
34006,OK,40151,Woods,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,7.071192,TON
34067,OK,40063,Hughes,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,1.8439159999999999,TON
36924,OK,40097,Mayes,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.09687229,TON
41464,OK,40109,Oklahoma,Fuel Comb - Residential - Other,Ammonia,CAP,0.09209738,TON
