,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
868697,AR,5021,Clay,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.03054305,TON
868927,AR,5141,Van Buren,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.01212745,TON
869407,AR,5025,Cleveland,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,0.18290510000000001,TON
869409,AR,5077,Lee,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.0001069935,TON
870334,AR,5017,Chicot,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,15.789996602,TON
872590,AR,5063,Independence,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.0,TON
875696,AR,5049,Fulton,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,0.67307033,TON
876940,AR,5027,Columbia,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.06547385,TON
880208,AR,5077,Lee,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.01906778,TON
883513,AR,5017,Chicot,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,5.805067,TON
884044,AR,5143,Washington,Fuel Comb - Residential - Other,Ammonia,CAP,0.03246353,TON
884719,AR,5063,Independence,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.01841416,TON
884786,AR,5085,Lonoke,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,0.6668424,TON
885179,AR,5091,Miller,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,1.261823,TON
886120,AR,5081,Little River,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.03042707,TON
886688,AR,5091,Miller,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.12489289999999999,TON
886818,AR,5119,Pulaski,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,13.83733,TON
887304,AR,5099,Nevada,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,0.1961793,TON
887879,AR,5001,Arkansas,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,8.484296,TON
888183,AR,5071,Johnson,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,11.96621,TON
889664,AR,5021,Clay,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,33.862958198,TON
890421,AR,5069,Jefferson,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
896169,AR,5093,Mississippi,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.949639627,TON
897500,AR,5101,Newton,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,6.5427189999999995e-06,TON
900312,AR,5117,Prairie,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.0114548,TON
900656,AR,5149,Yell,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.000156536,TON
900751,AR,5075,Lawrence,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.3831914,TON
901084,AR,5055,Greene,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.2122299,TON
902567,AR,5083,Logan,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.0006999708999999999,TON
903111,AR,5143,Washington,Fuel Comb - Residential - Oil,Ammonia,CAP,0.0104993758,TON
905735,AR,5037,Cross,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.01045662,TON
906444,AR,5125,Saline,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,10.44632,TON
907064,AR,5023,Cleburne,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.01090781,TON
907548,AR,5141,Van Buren,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,2.192269,TON
910043,AR,5001,Arkansas,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.00034032219,TON
912567,AR,5063,Independence,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.14790910000000002,TON
912810,AR,5121,Randolph,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.1985095,TON
913012,AR,5103,Ouachita,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,1.5472760803999999,TON
913443,AR,5091,Miller,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.024417155,TON
914629,AR,5121,Randolph,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,346.28572225,TON
914866,AR,5073,Lafayette,Fuel Comb - Residential - Other,Ammonia,CAP,0.002370645,TON
915803,AR,5077,Lee,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.0,TON
916952,AR,5093,Mississippi,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.05480015,TON
918532,AR,5065,Izard,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.0002048297,TON
920237,AR,5097,Montgomery,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,5.927598e-06,TON
920286,AR,5127,Scott,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,1.350714,TON
921714,AR,5111,Poinsett,Fuel Comb - Residential - Oil,Ammonia,CAP,0.0024417155,TON
921806,AR,5063,Independence,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.15484360000000003,TON
923320,AR,5105,Perry,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.002953615,TON
923850,AR,5035,Crittenden,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,10.60008,TON
925952,AR,5015,Carroll,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,1.495352,TON
927568,AR,5031,Craighead,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
927584,AR,5127,Scott,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,5.360945e-05,TON
928050,AR,5009,Boone,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,5.901265,TON
