,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
1122,ME,23021,Piscataquis,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
7682,ME,23017,Oxford,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,8.7481246,TON
11344,ME,23017,Oxford,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
11492,ME,23009,Hancock,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,0.02141517,TON
13720,ME,23005,Cumberland,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.0,TON
14423,ME,23025,Somerset,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.1190089,TON
14903,ME,23023,Sagadahoc,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
15055,ME,23013,Knox,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,66.50944,TON
18578,ME,23003,Aroostook,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.02307757,TON
35383,ME,23029,Washington,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.0,TON
37855,ME,23013,Knox,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,0.0,TON
38814,ME,23005,Cumberland,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,419.29067000000003,TON
44835,ME,23001,Androscoggin,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,47.8260149,TON
48683,ME,23025,Somerset,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,0.27005619999999997,TON
51445,ME,23025,Somerset,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,3.2300107999999996,TON
54682,ME,23029,Washington,Fuel Comb - Comm/Institutional - Coal,Carbon Monoxide,CAP,0.0,TON
60930,ME,23013,Knox,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.03458704,TON
62333,ME,23011,Kennebec,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,40.23409,TON
62767,ME,23009,Hancock,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,10.267008,TON
67356,ME,23021,Piscataquis,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,0.05036762,TON
68241,ME,23029,Washington,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.04657534,TON
73367,ME,23015,Lincoln,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
84730,ME,23025,Somerset,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.04643705,TON
87982,ME,23017,Oxford,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
99404,ME,23009,Hancock,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,174.4301356,TON
105789,ME,23021,Piscataquis,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.0003214954,TON
106650,ME,23029,Washington,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,15.32901,TON
107280,ME,23009,Hancock,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.002024707,TON
109818,ME,23025,Somerset,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
112664,ME,23027,Waldo,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.0008755392,TON
119578,ME,23031,York,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,31.0399619,TON
139714,ME,23019,Penobscot,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,49.86334855,TON
145519,ME,23001,Androscoggin,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
146877,ME,23001,Androscoggin,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.0,TON
155701,ME,23027,Waldo,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,1996.6728179000002,TON
173497,ME,23001,Androscoggin,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,3232.4512892,TON
183832,ME,23001,Androscoggin,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
196842,ME,23009,Hancock,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,2650.3453499,TON
200911,ME,23019,Penobscot,Commercial Cooking,Volatile Organic Compounds,CAP,7.37032802,TON
