,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
4731213,WY,56043,Washakie,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,2.104405,TON
4737671,WY,56009,Converse,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,0.13398,TON
4742061,WY,56023,Lincoln,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.05005537,TON
4742661,WY,56001,Albany,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.7165419,TON
4743032,WY,56041,Uinta,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,0.270522,TON
4755492,WY,56007,Carbon,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,5.94983181,TON
4761956,WY,56021,Laramie,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,8.77449354,TON
4780818,WY,56041,Uinta,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.0310416,TON
4785247,WY,56031,Platte,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,0.0093456,TON
4793904,WY,56041,Uinta,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.043314,TON
4798705,WY,56029,Park,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,42.120469019,TON
4802289,WY,56029,Park,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.0,TON
4803203,WY,56009,Converse,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,2.86134,TON
4806855,WY,56005,Campbell,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.2589314,TON
4816307,WY,56039,Teton,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.02854286,TON
4818497,WY,56001,Albany,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,54.50884,TON
4830587,WY,56001,Albany,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,9.36805,TON
4835087,WY,56045,Weston,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,10.445014502000001,TON
4844892,WY,56031,Platte,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.0117079308,TON
4851175,WY,56007,Carbon,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.5761551752,TON
4855828,WY,56007,Carbon,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,136.98433921,TON
4876039,WY,56021,Laramie,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.7378621999999999,TON
4882519,WY,56039,Teton,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.03451695,TON
4886721,WY,56025,Natrona,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,1.4363262319999999,TON
4887857,WY,56017,Hot Springs,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,6.104143343,TON
4895993,WY,56009,Converse,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,14.364361147,TON
4898646,WY,56003,Big Horn,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,21.116322991,TON
4914020,WY,56021,Laramie,Commercial Cooking,Carbon Monoxide,CAP,16.4509814,TON
4914203,WY,56031,Platte,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.01768,TON
4915142,WY,56009,Converse,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,0.7868685999999999,TON
4916980,WY,56041,Uinta,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.00157804,TON
4920205,WY,56029,Park,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,1.9204169999999998,TON
4920792,WY,56011,Crook,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.007310706,TON
4933027,WY,56029,Park,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.0020661,TON
4936954,WY,56035,Sublette,Commercial Cooking,Volatile Organic Compounds,CAP,0.42642359399999996,TON
