,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
1102691,NY,36071,Orange,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,16.17434442,TON
1104404,NY,36005,Bronx,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,48.451881656000005,TON
1107897,NY,36029,Erie,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,1.82574732,TON
1107922,NY,36079,Putnam,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.9902075,TON
1108812,NY,36109,Tompkins,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,91.84173525,TON
1110194,NY,36067,Onondaga,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,177.287692,TON
1110522,NY,36103,Suffolk,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,726.9274730000001,TON
1110852,NY,36021,Columbia,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.1112763,TON
1114393,NY,36067,Onondaga,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
1115066,NY,36029,Erie,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
1115670,NY,36007,Broome,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.7664837,TON
1116346,NY,36089,St. Lawrence,Fuel Comb - Comm/Institutional - Coal,Carbon Monoxide,CAP,0.0,TON
1116581,NY,36045,Jefferson,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.067244949,TON
1118323,NY,36057,Montgomery,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,2.80277865,TON
1118560,NY,36101,Steuben,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.006933096999999999,TON
1119103,NY,36031,Essex,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,13.16068,TON
1125175,NY,36087,Rockland,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,6.1724486,TON
1125453,NY,36065,Oneida,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,241.17740575,TON
1125540,NY,36071,Orange,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,5.312615,TON
1129809,NY,36103,Suffolk,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.1537076,TON
1131119,NY,36061,New York,Commercial Cooking,Carbon Monoxide,CAP,628.30584,TON
1131128,NY,36039,Greene,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,21.816535199999997,TON
1132061,NY,36055,Monroe,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.24835236,TON
1133246,NY,36023,Cortland,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.3050883,TON
1135203,NY,36087,Rockland,Commercial Cooking,Carbon Monoxide,CAP,60.336348,TON
1136031,NY,36059,Nassau,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.4837544,TON
1136139,NY,36007,Broome,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,11.069259124,TON
1136606,NY,36003,Allegany,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,1.7394535,TON
1136717,NY,36107,Tioga,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,0.6790429,TON
1137924,NY,36063,Niagara,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,12.295015,TON
1139605,NY,36035,Fulton,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,21.71409,TON
1146455,NY,36079,Putnam,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,5.21162,TON
