,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
4474739,CA,6045,Mendocino,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
4476379,CA,6105,Trinity,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.2537629,TON
4478287,CA,6029,Kern,Commercial Cooking,Carbon Monoxide,CAP,0.0,TON
4478599,CA,6041,Marin,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,3.461575409,TON
4479205,CA,6081,San Mateo,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,15.202274404828,TON
4490208,CA,6107,Tulare,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,7.175831,TON
4492078,CA,6003,Alpine,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.07535261,TON
4492324,CA,6091,Sierra,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,4.454972,TON
4492478,CA,6111,Ventura,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,5e-07,TON
4494682,CA,6039,Madera,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,5.340532,TON
4494903,CA,6017,El Dorado,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
4496397,CA,6007,Butte,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,3.824533,TON
4500519,CA,6017,El Dorado,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,439.89106038,TON
4502153,CA,6111,Ventura,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,3.35,TON
4502491,CA,6021,Glenn,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,65.055935412,TON
4503676,CA,6053,Monterey,Commercial Cooking,Volatile Organic Compounds,CAP,13.453970000000002,TON
4505086,CA,6057,Nevada,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.05,TON
4506818,CA,6015,Del Norte,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.0,TON
4511727,CA,6035,Lassen,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.2608036,TON
4512918,CA,6005,Amador,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,1.35706,TON
4515860,CA,6057,Nevada,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
