,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
7245,VT,50001,Addison,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,0.9068755,TON
19625,VT,50025,Windham,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,14.60554397,TON
22798,VT,50011,Franklin,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.04458708,TON
27492,VT,50017,Orange,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,1.085589,TON
28349,VT,50013,Grand Isle,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
35834,VT,50009,Essex,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.0019523370000000002,TON
37303,VT,50025,Windham,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,25.1791,TON
41666,VT,50015,Lamoille,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,16.114964800000003,TON
48355,VT,50021,Rutland,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.05949159,TON
50168,VT,50015,Lamoille,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.5947201,TON
53078,VT,50019,Orleans,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.04756248,TON
53549,VT,50017,Orange,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.04281248,TON
56406,VT,50023,Washington,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.1119816,TON
64696,VT,50013,Grand Isle,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.17295477267,TON
80385,VT,50011,Franklin,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,5.92265,TON
80981,VT,50013,Grand Isle,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.36166228,TON
83944,VT,50001,Addison,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,0.1246954,TON
86589,VT,50023,Washington,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,9.0478091,TON
91934,VT,50017,Orange,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.03710415,TON
104906,VT,50023,Washington,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,80.8451671,TON
105927,VT,50011,Franklin,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,13.42353,TON
113884,VT,50009,Essex,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,0.0,TON
115524,VT,50021,Rutland,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,463.77708870000004,TON
119108,VT,50005,Caledonia,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.03247008,TON
120339,VT,50001,Addison,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,39.842231700000006,TON
123411,VT,50005,Caledonia,Commercial Cooking,Volatile Organic Compounds,CAP,1.2524879740000001,TON
