,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
74649,MT,30041,Hill,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,0.5579228,TON
75114,MT,30061,Mineral,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.004072654,TON
75229,MT,30017,Custer,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.01770783,TON
77871,MT,30101,Toole,Fuel Comb - Residential - Oil,Ammonia,CAP,0.0109952115,TON
85006,MT,30039,Granite,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.0166206095,TON
85437,MT,30021,Dawson,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.1288463,TON
85977,MT,30005,Blaine,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,1.528367,TON
86239,MT,30077,Powell,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.01969518,TON
87139,MT,30065,Musselshell,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,0.6380903,TON
87692,MT,30037,Golden Valley,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,0.420118804,TON
87816,MT,30025,Fallon,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,0.8213868000000001,TON
88284,MT,30059,Meagher,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.004648111,TON
88697,MT,30081,Ravalli,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.19540529999999998,TON
88929,MT,30081,Ravalli,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.297934937,TON
89431,MT,30007,Broadwater,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.23840456799000004,TON
92596,MT,30019,Daniels,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.0002132425,TON
92921,MT,30085,Roosevelt,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,1.554011,TON
93133,MT,30085,Roosevelt,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.0201554,TON
94745,MT,30101,Toole,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.08651959,TON
96727,MT,30077,Powell,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.07201803054,TON
97566,MT,30015,Chouteau,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.30803420000000004,TON
97574,MT,30111,Yellowstone,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,145.63942186,TON
99928,MT,30035,Glacier,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.007741212,TON
99966,MT,30067,Park,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.01111046,TON
101999,MT,30029,Flathead,Commercial Cooking,Carbon Monoxide,CAP,21.300595,TON
103188,MT,30005,Blaine,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.4759553852,TON
103744,MT,30081,Ravalli,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.5444395000000001,TON
103892,MT,30065,Musselshell,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.00050711809,TON
104915,MT,30023,Deer Lodge,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.0,TON
108229,MT,30077,Powell,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,1.1306969999999998,TON
112463,MT,30035,Glacier,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.04176471,TON
113562,MT,30017,Custer,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.001702676,TON
114616,MT,30045,Judith Basin,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.0172422,TON
119029,MT,30105,Valley,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,0.00057788568,TON
119639,MT,30109,Wibaux,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,0.4179929,TON
120987,MT,30101,Toole,Commercial Cooking,Carbon Monoxide,CAP,0.65251389,TON
121617,MT,30085,Roosevelt,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,14.556590253,TON
121675,MT,30001,Beaverhead,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,1.70018,TON
122478,MT,30061,Mineral,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.5192767197,TON
123356,MT,30063,Missoula,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,7.030880000000001,TON
126115,MT,30031,Gallatin,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,7.300772,TON
127077,MT,30081,Ravalli,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.1400404,TON
128695,MT,30029,Flathead,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,3.860091,TON
129414,MT,30107,Wheatland,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,0.1014791,TON
129746,MT,30095,Stillwater,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,3.957041e-05,TON
131638,MT,30025,Fallon,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,0.09029457,TON
134723,MT,30095,Stillwater,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.007553501999999999,TON
138527,MT,30089,Sanders,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,4.87721698,TON
141678,MT,30017,Custer,Fuel Comb - Residential - Wood,Ammonia,CAP,0.6442020572,TON
144457,MT,30059,Meagher,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,1.466985e-05,TON
144819,MT,30065,Musselshell,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.003722193,TON
145388,MT,30015,Chouteau,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.29055553286999997,TON
145500,MT,30037,Golden Valley,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.032077699,TON
145690,MT,30103,Treasure,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.0024833807083,TON
147541,MT,30001,Beaverhead,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.8308527,TON
152049,MT,30037,Golden Valley,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,0.00026114810000000003,TON
152376,MT,30065,Musselshell,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.0002628919,TON
152488,MT,30009,Carbon,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.023054489900000003,TON
152807,MT,30077,Powell,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.01393969,TON
152871,MT,30105,Valley,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.05794639,TON
156067,MT,30019,Daniels,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.000712765,TON
161920,MT,30071,Phillips,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.012239996999999999,TON
164654,MT,30105,Valley,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,2.621797,TON
165942,MT,30073,Pondera,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.01185005,TON
166617,MT,30031,Gallatin,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,55.52945329999999,TON
167425,MT,30021,Dawson,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,3.76234759,TON
168283,MT,30045,Judith Basin,Commercial Cooking,Carbon Monoxide,CAP,0.49093052,TON
168545,MT,30039,Granite,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,0.4111896,TON
169150,MT,30107,Wheatland,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,3.4030570000000004e-05,TON
169345,MT,30107,Wheatland,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.000220225,TON
170042,MT,30069,Petroleum,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,0.9675788000000001,TON
170128,MT,30051,Liberty,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.012184799,TON
170727,MT,30031,Gallatin,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.0333736652,TON
173123,MT,30037,Golden Valley,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,4.3542418e-05,TON
181449,MT,30087,Rosebud,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.0078048430000000005,TON
181627,MT,30109,Wibaux,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,2.9585605094,TON
182194,MT,30017,Custer,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.02558356,TON
182257,MT,30035,Glacier,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,0.24598739999999997,TON
183042,MT,30001,Beaverhead,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,2.674157,TON
183653,MT,30105,Valley,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.01284681,TON
185071,MT,30029,Flathead,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,8.159838,TON
185280,MT,30053,Lincoln,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.00010603219999999999,TON
185281,MT,30053,Lincoln,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.04608864,TON
187420,MT,30051,Liberty,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,2.307377e-05,TON
187507,MT,30043,Jefferson,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.0061113930000000006,TON
188348,MT,30051,Liberty,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.06043825,TON
188411,MT,30011,Carter,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.00208477,TON
196795,MT,30087,Rosebud,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.02091084,TON
197659,MT,30019,Daniels,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,0.0,TON
199273,MT,30087,Rosebud,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,18.814938212,TON
200925,MT,30023,Deer Lodge,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.0,TON
203520,MT,30059,Meagher,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.0010628303,TON
203525,MT,30077,Powell,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.0008986137,TON
204809,MT,30009,Carbon,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,0.2570731,TON
205026,MT,30057,Madison,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,5.6543290000000004e-05,TON
205761,MT,30059,Meagher,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.0168830026,TON
205762,MT,30059,Meagher,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.00505661554,TON
