,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
1330319,SC,45027,Clarendon,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.148206,TON
1332834,SC,45049,Hampton,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.0009215491000000001,TON
1343718,SC,45089,Williamsburg,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,0.8259464,TON
1346647,SC,45025,Chesterfield,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.284959847,TON
1352396,SC,45059,Laurens,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,1.4677808,TON
1355253,SC,45001,Abbeville,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,18.340552377999998,TON
1357276,SC,45011,Barnwell,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.008953972,TON
1357417,SC,45003,Aiken,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.059895212,TON
1359961,SC,45087,Union,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.22519846100000002,TON
1361350,SC,45047,Greenwood,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,1.418695,TON
1363890,SC,45049,Hampton,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
1363891,SC,45049,Hampton,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
1365485,SC,45051,Horry,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.04063978,TON
1366419,SC,45029,Colleton,Fuel Comb - Comm/Institutional - Biomass,Volatile Organic Compounds,CAP,0.02265962,TON
1367155,SC,45073,Oconee,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
1367365,SC,45043,Georgetown,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.00594598,TON
1367774,SC,45063,Lexington,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,4.024121,TON
1369280,SC,45051,Horry,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
1370676,SC,45059,Laurens,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.47179079999999995,TON
1371410,SC,45063,Lexington,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
1371571,SC,45031,Darlington,Commercial Cooking,Volatile Organic Compounds,CAP,3.4416681000000002,TON
1378529,SC,45033,Dillon,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,0.3710363,TON
