,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
62699,NC,37119,Mecklenburg,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.06391276,TON
64766,NC,37121,Mitchell,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,3.6611406580000003,TON
64770,NC,37139,Pasquotank,Fuel Comb - Residential - Wood,Ammonia,CAP,1.8759668116,TON
67070,NC,37149,Polk,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
68040,NC,37181,Vance,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,5.987344,TON
68274,NC,37031,Carteret,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.22250962,TON
69392,NC,37171,Surry,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.011128,TON
69675,NC,37123,Montgomery,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
69695,NC,37035,Catawba,Commercial Cooking,Carbon Monoxide,CAP,29.675309999999996,TON
69791,NC,37133,Onslow,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
70008,NC,37103,Jones,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.0020723670000000003,TON
70041,NC,37095,Hyde,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.015156338,TON
70602,NC,37143,Perquimans,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.1686692,TON
71657,NC,37065,Edgecombe,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.21596666,TON
71882,NC,37069,Franklin,Fuel Comb - Residential - Other,Ammonia,CAP,0.051641099999999995,TON
72566,NC,37027,Caldwell,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.07110881,TON
72773,NC,37187,Washington,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.007795744,TON
72846,NC,37055,Dare,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.04965173,TON
73068,NC,37143,Perquimans,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,0.44962962,TON
74263,NC,37057,Davidson,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
75054,NC,37083,Halifax,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,10.976239999999999,TON
75487,NC,37157,Rockingham,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.006309998000000001,TON
