,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
47,ND,OWNER,1940-59,1 DETACHED,BOTTLED GAS,100-150%,259.57,20757.96,1671.76,1649.99,114.98,16.56
48,ND,OWNER,1940-59,1 DETACHED,BOTTLED GAS,150-200%,329.011,33242.56,2298.0,2071.69,56.67,13.320000000000002
49,ND,OWNER,1940-59,1 DETACHED,BOTTLED GAS,200-400%,1637.455,55100.51,2150.95,1890.33,106.74,7.53
50,ND,OWNER,1940-59,1 DETACHED,BOTTLED GAS,400%+,2546.178,128153.56,2299.2,2096.95,69.35,3.4799999999999995
51,ND,OWNER,1940-59,1 DETACHED,ELECTRICITY,0-100%,453.587,6850.28,2743.51,144.64,47.48,42.85
52,ND,OWNER,1940-59,1 DETACHED,ELECTRICITY,100-150%,368.718,21745.56,2594.55,99.45,29.46,12.520000000000001
53,ND,OWNER,1940-59,1 DETACHED,ELECTRICITY,150-200%,429.061,32647.26,2938.67,45.91,25.56,9.22
54,ND,OWNER,1940-59,1 DETACHED,ELECTRICITY,200-400%,1641.419,55555.8,2622.93,164.65,31.94,5.08
55,ND,OWNER,1940-59,1 DETACHED,ELECTRICITY,400%+,2630.611,126869.21,3038.64,177.67,33.81,2.56
56,ND,OWNER,1940-59,1 DETACHED,OTHER,0-100%,6.363,0.0,0.0,0.0,0.0,
57,ND,OWNER,1940-59,1 DETACHED,OTHER,100-150%,0.767,0.0,0.0,0.0,0.0,
58,ND,OWNER,1940-59,1 DETACHED,OTHER,150-200%,15.258,26381.05,1707.62,0.0,0.0,6.47
59,ND,OWNER,1940-59,1 DETACHED,OTHER,200-400%,68.822,71955.6,2570.88,1069.16,125.71,5.2299999999999995
60,ND,OWNER,1940-59,1 DETACHED,OTHER,400%+,91.209,122610.4,2602.7,529.45,348.91,2.8400000000000003
61,ND,OWNER,1940-59,1 DETACHED,SOLAR,0-100%,0.573,0.0,0.0,0.0,0.0,
62,ND,OWNER,1940-59,1 DETACHED,SOLAR,100-150%,0.268,0.0,0.0,0.0,0.0,
63,ND,OWNER,1940-59,1 DETACHED,SOLAR,150-200%,0.115,0.0,0.0,0.0,0.0,
64,ND,OWNER,1940-59,1 DETACHED,SOLAR,200-400%,0.078,0.0,0.0,0.0,0.0,
65,ND,OWNER,1940-59,1 DETACHED,SOLAR,400%+,0.168,0.0,0.0,0.0,0.0,
66,ND,OWNER,1940-59,1 DETACHED,UTILITY GAS,0-100%,765.282,7948.18,1177.56,695.61,56.86,24.279999999999998
67,ND,OWNER,1940-59,1 DETACHED,UTILITY GAS,100-150%,807.456,20460.52,1019.26,534.14,42.61,7.8
68,ND,OWNER,1940-59,1 DETACHED,UTILITY GAS,150-200%,744.392,30046.97,1013.05,518.46,23.02,5.17
69,ND,OWNER,1940-59,1 DETACHED,UTILITY GAS,200-400%,5720.655,55490.04,1194.38,625.09,41.75,3.35
70,ND,OWNER,1940-59,1 DETACHED,UTILITY GAS,400%+,8850.017,123522.41,1300.92,727.14,11.68,1.6500000000000001
71,ND,OWNER,1940-59,1 DETACHED,WOOD,0-100%,13.691,12892.4,1105.51,0.0,75.77,9.16
72,ND,OWNER,1940-59,1 DETACHED,WOOD,100-150%,36.47,25156.51,1939.66,0.0,97.67,8.1
73,ND,OWNER,1940-59,1 DETACHED,WOOD,150-200%,31.669,24828.04,626.5,0.0,509.63,4.58
74,ND,OWNER,1940-59,1 DETACHED,WOOD,200-400%,73.839,74417.17,2470.5,99.19,165.67,3.6799999999999997
75,ND,OWNER,1940-59,1 DETACHED,WOOD,400%+,65.809,89319.52,2465.96,0.0,345.33,3.15
76,ND,OWNER,1940-59,1 DETACHED,COAL,0-100%,1.818,0.0,0.0,0.0,0.0,
77,ND,OWNER,1940-59,1 DETACHED,COAL,100-150%,2.212,0.0,0.0,0.0,0.0,
78,ND,OWNER,1940-59,1 DETACHED,COAL,150-200%,0.208,0.0,0.0,0.0,0.0,
79,ND,OWNER,1940-59,1 DETACHED,COAL,200-400%,1.661,126401.13,2639.42,186.7,101.88,2.32
80,ND,OWNER,1940-59,1 DETACHED,COAL,400%+,24.616,477141.98,4080.38,135.41,305.12,0.95
81,ND,OWNER,1940-59,1 DETACHED,NONE,0-100%,0.186,0.0,0.0,0.0,0.0,
82,ND,OWNER,1940-59,1 DETACHED,NONE,100-150%,0.041,0.0,0.0,0.0,0.0,
83,ND,OWNER,1940-59,1 DETACHED,NONE,150-200%,0.064,0.0,0.0,0.0,0.0,
84,ND,OWNER,1940-59,1 DETACHED,NONE,200-400%,5.939,87775.39,207.75,644.87,0.0,0.97
85,ND,OWNER,1940-59,1 DETACHED,NONE,400%+,12.816,125210.4,400.92,1282.95,0.0,1.34
86,ND,OWNER,1940-59,1 DETACHED,FUEL OIL,0-100%,195.444,7254.04,2070.11,201.97,602.55,39.629999999999995
87,ND,OWNER,1940-59,1 DETACHED,FUEL OIL,100-150%,198.486,16349.83,1343.4,189.5,841.58,14.52
88,ND,OWNER,1940-59,1 DETACHED,FUEL OIL,150-200%,110.999,29630.36,1778.16,815.3,816.92,11.51
89,ND,OWNER,1940-59,1 DETACHED,FUEL OIL,200-400%,705.849,52358.13,1709.09,152.91,885.12,5.25
90,ND,OWNER,1940-59,1 DETACHED,FUEL OIL,400%+,750.78,108728.59,2236.37,385.58,769.9,3.1199999999999997
91,ND,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,0-100%,11.064,0.0,0.0,0.0,0.0,
92,ND,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,100-150%,0.929,0.0,0.0,0.0,0.0,
93,ND,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,150-200%,0.245,0.0,0.0,0.0,0.0,
94,ND,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,200-400%,6.634,43989.85,1661.52,1080.44,0.0,6.23
95,ND,OWNER,1940-59,MOBILE_TRAILER,BOTTLED GAS,400%+,21.316,87639.09,1778.16,1732.67,0.0,4.01
96,ND,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,0-100%,0.634,0.0,0.0,0.0,0.0,
97,ND,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,100-150%,0.717,0.0,0.0,0.0,0.0,
98,ND,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,150-200%,0.612,0.0,0.0,0.0,0.0,
99,ND,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,200-400%,0.631,0.0,0.0,0.0,0.0,
100,ND,OWNER,1940-59,MOBILE_TRAILER,ELECTRICITY,400%+,0.661,0.0,0.0,0.0,0.0,
101,ND,OWNER,1940-59,MOBILE_TRAILER,OTHER,0-100%,0.0,0.0,0.0,0.0,0.0,
102,ND,OWNER,1940-59,MOBILE_TRAILER,OTHER,100-150%,0.069,0.0,0.0,0.0,0.0,
103,ND,OWNER,1940-59,MOBILE_TRAILER,OTHER,150-200%,0.039,0.0,0.0,0.0,0.0,
104,ND,OWNER,1940-59,MOBILE_TRAILER,OTHER,200-400%,0.263,0.0,0.0,0.0,0.0,
105,ND,OWNER,1940-59,MOBILE_TRAILER,OTHER,400%+,1.125,0.0,0.0,0.0,0.0,
106,ND,OWNER,1940-59,MOBILE_TRAILER,SOLAR,0-100%,0,0.0,0.0,0.0,0.0,
107,ND,OWNER,1940-59,MOBILE_TRAILER,SOLAR,100-150%,0,0.0,0.0,0.0,0.0,
108,ND,OWNER,1940-59,MOBILE_TRAILER,SOLAR,150-200%,0,0.0,0.0,0.0,0.0,
109,ND,OWNER,1940-59,MOBILE_TRAILER,SOLAR,200-400%,0,0.0,0.0,0.0,0.0,
110,ND,OWNER,1940-59,MOBILE_TRAILER,SOLAR,400%+,0,0.0,0.0,0.0,0.0,
111,ND,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,0-100%,0.426,0.0,0.0,0.0,0.0,
112,ND,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,100-150%,0.021,0.0,0.0,0.0,0.0,
113,ND,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,150-200%,0.001,0.0,0.0,0.0,0.0,
114,ND,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,200-400%,18.611,98512.59,701.09,1720.84,0.0,2.46
115,ND,OWNER,1940-59,MOBILE_TRAILER,UTILITY GAS,400%+,1.016,13639.14,0.0,0.0,0.0,0.0
116,ND,OWNER,1940-59,MOBILE_TRAILER,WOOD,0-100%,3.382,0.0,1356.07,0.0,0.0,inf
117,ND,OWNER,1940-59,MOBILE_TRAILER,WOOD,100-150%,0.05,0.0,0.0,0.0,0.0,
118,ND,OWNER,1940-59,MOBILE_TRAILER,WOOD,150-200%,0.029,0.0,0.0,0.0,0.0,
119,ND,OWNER,1940-59,MOBILE_TRAILER,WOOD,200-400%,5.156,0.0,0.0,0.0,0.0,
120,ND,OWNER,1940-59,MOBILE_TRAILER,WOOD,400%+,3.715,0.0,0.0,0.0,0.0,
121,ND,OWNER,1940-59,MOBILE_TRAILER,COAL,0-100%,0.0,0.0,0.0,0.0,0.0,
122,ND,OWNER,1940-59,MOBILE_TRAILER,COAL,100-150%,0.0,0.0,0.0,0.0,0.0,
123,ND,OWNER,1940-59,MOBILE_TRAILER,COAL,150-200%,0.0,0.0,0.0,0.0,0.0,
124,ND,OWNER,1940-59,MOBILE_TRAILER,COAL,200-400%,0.001,0.0,0.0,0.0,0.0,
125,ND,OWNER,1940-59,MOBILE_TRAILER,COAL,400%+,0.0,0.0,0.0,0.0,0.0,
126,ND,OWNER,1940-59,MOBILE_TRAILER,NONE,0-100%,0.016,0.0,0.0,0.0,0.0,
127,ND,OWNER,1940-59,MOBILE_TRAILER,NONE,100-150%,0.0,0.0,0.0,0.0,0.0,
128,ND,OWNER,1940-59,MOBILE_TRAILER,NONE,150-200%,0.323,0.0,0.0,0.0,0.0,
129,ND,OWNER,1940-59,MOBILE_TRAILER,NONE,200-400%,0.238,0.0,0.0,0.0,0.0,
130,ND,OWNER,1940-59,MOBILE_TRAILER,NONE,400%+,1.221,0.0,0.0,0.0,0.0,
131,ND,OWNER,1940-59,MOBILE_TRAILER,FUEL OIL,0-100%,0.576,0.0,0.0,0.0,0.0,
132,ND,OWNER,1940-59,MOBILE_TRAILER,FUEL OIL,100-150%,0.329,0.0,0.0,0.0,0.0,
133,ND,OWNER,1940-59,MOBILE_TRAILER,FUEL OIL,150-200%,0.137,0.0,0.0,0.0,0.0,
134,ND,OWNER,1940-59,MOBILE_TRAILER,FUEL OIL,200-400%,0.464,0.0,0.0,0.0,0.0,
135,ND,OWNER,1940-59,MOBILE_TRAILER,FUEL OIL,400%+,0.475,0.0,0.0,0.0,0.0,
136,ND,OWNER,1940-59,10-19 UNIT,BOTTLED GAS,0-100%,0.085,0.0,0.0,0.0,0.0,
137,ND,OWNER,1940-59,10-19 UNIT,BOTTLED GAS,100-150%,0.159,0.0,0.0,0.0,0.0,
138,ND,OWNER,1940-59,10-19 UNIT,BOTTLED GAS,150-200%,0.061,0.0,0.0,0.0,0.0,
139,ND,OWNER,1940-59,10-19 UNIT,BOTTLED GAS,200-400%,0.423,0.0,0.0,0.0,0.0,
140,ND,OWNER,1940-59,10-19 UNIT,BOTTLED GAS,400%+,0.0,0.0,0.0,0.0,0.0,
141,ND,OWNER,1940-59,10-19 UNIT,ELECTRICITY,0-100%,1.627,0.0,0.0,0.0,0.0,
