,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,CA,898449,881410,860219,844490,867110,865554,855734,831629,817270,831501
50,Year Built: 1950-1959,CA,1899017,1900899,1904925,1913196,1890857,1897968,1907203,1909367,1896629,1905907
51,Year Built: 1960-1969,CA,1904908,1889742,1848544,1840172,1899109,1876508,1887859,1884146,1925945,1912547
52,Year Built: 1970-1979,CA,2514794,2495904,2489807,2528047,2499782,2502544,2485423,2481692,2512178,2506006
53,Year Built: 1980-1989,CA,2080103,2092559,2095276,2123198,2140655,2129434,2145326,2155091,2118545,2129811
54,Year Built: 1990-1999,CA,1447836,1455969,1458351,1503055,1493455,1540208,1543344,1522735,1561579,1550276
55,Year Built: 2000-2009,CA,974244,946099,1652314,1635062,1623930,1599729,1571073,1582880,1553769,1536326
56,Year Built: 2010-2013,CA,670433,771752,83715,121157,179632,229216,242680,253036,248659,241416
57,Year Built: 2014 or later,CA,,,,,,45891.0,140661.0,239129.0,343448.0,454864.0
58,Year Built: before 1940,CA,1293192,1286853,1315046,1282885,1307064,1301347,1282072,1317565,1299845,1298358
