,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,CA,2.99,3.0,3.0,3.0,3.01,3.01,3.01,3.03,3.03,3.02
1,Avg household size of renter-occupied unit,CA,2.89,2.91,2.93,2.93,2.94,2.93,2.92,2.91,2.88,2.85
2,House Heating Fuel: Electric,CA,3042396,3180216,3298902,3379399,3323498,3427206,3461462,3452150,3496270,3497610
3,House Heating Fuel: Fuel Oil,CA,35932,35746,34136,33220,30061,30962,29687,32051,33503,30373
4,House Heating Fuel: Gas,CA,8289619,8259792,8230125,8149303,8249834,8252070,8286377,8370720,8342368,8469893
5,House Heating Fuel: Propane,CA,393137,381065,376616,414887,406961,399275,411060,420817,426163,426530
6,House Heating Fuel: Wood,CA,218319,216924,215614,204825,221127,218185,201493,197217,182905,181624
25,Median Number of Rooms,CA,5.1,5.1,5.0,5.1,5.0,5.1,5.0,5.0,5.0,5.0
26,Number of Rooms: 1,CA,461928,439275,424719,426830,434383,539055,548104,574166,577749,576699
27,Number of Rooms: 2,CA,520878,525524,551442,549838,570218,550196,577457,590558,604864,610732
28,Number of Rooms: 3,CA,1618942,1668785,1668203,1677976,1675884,1626645,1657628,1672707,1706914,1781431
29,Number of Rooms: 4,CA,2623963,2643042,2675247,2645475,2704014,2737529,2725838,2741852,2757196,2794166
30,Number of Rooms: 5,CA,2812683,2828237,2812222,2831007,2859481,2800852,2788506,2784225,2789826,2778442
31,Number of Rooms: 6,CA,2321437,2339450,2336432,2333634,2331176,2395039,2382115,2403237,2423866,2407796
32,Number of Rooms: 7,CA,1542055,1507458,1498683,1505214,1525783,1477085,1484907,1488422,1488368,1473852
33,Number of Rooms: 8,CA,912704,906525,889312,895444,894554,955340,965495,978928,982622,989529
34,Number of Rooms: 9+,CA,868386,862891,851937,925844,906101,906658,931325,943175,946462,954365
35,Owner-Occupied,CA,20635289,20528723,20314253,20416004,20603554,20810793,20896832,21606648,21718344,21766552
36,Renter-Occupied,CA,15894258,16342795,16911606,17110343,17381816,17513031,17539616,17112143,17012851,16919150
37,Total Housing Units,CA,13682976,13721187,13708197,13791262,13901594,13988399,14061375,14177270,14277867,14367012
38,Total Population,CA,37349363,37691912,38041430,38332521,38802500,39144818,39250017,39536653,39557045,39512223
39,Units in Structure: 1 ATTACHED,CA,978861,957678,936625,940512,965307,973766,984309,1010379,1014941,982710
40,Units in Structure: 1 DETACHED,CA,7913569,7955970,7943381,8009878,8067344,8068519,8095544,8199891,8177141,8206562
41,Units in Structure: 10-19,CA,719392,731031,748586,729142,723019,752164,727228,735724,742139,749775
42,Units in Structure: 2,CA,363899,349851,347522,348662,350799,348035,339902,342567,358619,342815
43,Units in Structure: 20-49,CA,695044,682237,677161,680654,679975,680423,708661,703150,712922,733897
44,Units in Structure: 3-4,CA,753973,749821,765100,781475,781016,789261,794480,770463,783963,789366
45,Units in Structure: 5-9,CA,827604,843623,840520,863609,876765,867694,872172,844841,874649,876097
46,Units in Structure: 50+,CA,890403,911039,921029,909553,914326,963151,1013434,1035668,1074890,1130664
47,"Units in Structure: Boat,RV,Van,Etc.",CA,18443,16730,14581,14053,15104,17267,12190,14929,13999,17195
48,Units in Structure: Mobile Home,CA,521788,523207,513692,513724,527939,528119,513455,519658,524604,537931
49,Year Built: 1940-1949,CA,898449,881410,860219,844490,867110,865554,855734,831629,817270,831501
50,Year Built: 1950-1959,CA,1899017,1900899,1904925,1913196,1890857,1897968,1907203,1909367,1896629,1905907
51,Year Built: 1960-1969,CA,1904908,1889742,1848544,1840172,1899109,1876508,1887859,1884146,1925945,1912547
52,Year Built: 1970-1979,CA,2514794,2495904,2489807,2528047,2499782,2502544,2485423,2481692,2512178,2506006
53,Year Built: 1980-1989,CA,2080103,2092559,2095276,2123198,2140655,2129434,2145326,2155091,2118545,2129811
54,Year Built: 1990-1999,CA,1447836,1455969,1458351,1503055,1493455,1540208,1543344,1522735,1561579,1550276
55,Year Built: 2000-2009,CA,974244,946099,1652314,1635062,1623930,1599729,1571073,1582880,1553769,1536326
56,Year Built: 2010-2013,CA,670433,771752,83715,121157,179632,229216,242680,253036,248659,241416
57,Year Built: 2014 or later,CA,,,,,,45891.0,140661.0,239129.0,343448.0,454864.0
58,Year Built: before 1940,CA,1293192,1286853,1315046,1282885,1307064,1301347,1282072,1317565,1299845,1298358
