,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,DE,22076,18111,20437,18294,17361,19230,20920,21693,17979,17620
50,Year Built: 1950-1959,DE,41836,42930,46066,40141,42330,43644,41723,41400,45314,48728
51,Year Built: 1960-1969,DE,43819,50267,47808,45340,45330,45013,43356,41412,48910,46464
52,Year Built: 1970-1979,DE,52237,49379,46885,51400,50270,52798,51108,53521,50015,48917
53,Year Built: 1980-1989,DE,64497,56576,57880,66616,60079,60813,56259,56501,61053,56985
54,Year Built: 1990-1999,DE,67677,62567,64789,67007,71502,68936,66980,63802,68418,67040
55,Year Built: 2000-2009,DE,46417,49227,84462,79186,81388,79702,83510,82286,70362,70457
56,Year Built: 2010-2013,DE,31780,40042,5380,7615,12365,14386,19388,19499,16981,17128
57,Year Built: 2014 or later,DE,,,,,,2416.0,10502.0,18267.0,21732.0,30674.0
58,Year Built: before 1940,DE,36150,40680,36601,36416,36788,34796,32408,34472,37895,39751
