,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Nevada (Million cubic feet)",13182,13112,15983,11427,11891,12602,12226,14141,15275,16765,17153,19135,18184,20683,21263,20686,22607,25243,30023,28772,29942,32609,31958,32848,36534,36397,37937,38088,38665,38742,39379,40595,37071,41664,35135,37029,39075,40911,41837,47931,
"Natural gas consumed by (delivered to) the commercial sector, Nevada (Million cubic feet)",10207,8294,8449,11758,12012,12232,11451,13747,14879,15116,15073,16960,16101,17549,18694,18703,20421,21958,23314,22710,25586,22912,22685,24099,26862,26552,28046,28224,28920,29531,29475,30763,28991,31211,29105,29873,31125,32200,32772,35190,
"Natural gas consumed by the industrial sector, Nevada (Million cubic feet)",7354,7097,6183,9083,8881,6173,3477,6197,7218,7859,7511,6677,9289,6288,5983,7037,7448,8420,10055,12115,11341,11482,11028,10677,11742,13758,13579,13239,12892,11462,10732,11083,11303,13212,16435,17728,18330,19272,20156,20683,
"Natural gas consumed by the electric power sector, Nevada (Million cubic feet)",27541,44249,15688,9562,9389,8080,6592,7076,10658,23210,24348,22940,34672,39414,54710,61635,71134,75656,84093,89954,121054,108510,109605,115960,136945,147743,166867,171473,180668,192049,175837,162778,189291,181326,166727,209692,209901,196541,199840,193172,
"Total energy consumption per capita in the residential sector, Nevada (Million Btu)",76.4,70.9,75.7,67.9,71,71.6,67.1,67.8,70.3,72.4,74,73,71.2,72.1,74.6,67.7,73,70.8,69.7,68.9,70.7,70.1,65.8,67.5,66.7,64.8,66.5,63.8,60.7,57.6,57.2,57,55.6,57.5,53.6,52.9,54.2,55.4,56.7,56.1,
"Electricity consumed by (i.e., sold to) the residential sector, Nevada (Million kilowatthours)",3697,3501,3782,3662,4055,4126,4097,4537,4968,5169,5540,5782,6064,6281,6845,6655,7526,7801,7975,8386,9406,9607,9702,10340,10673,11080,11978,12390,12061,11880,11615,11493,12123,12142,11917,12339,12692,12937,13450,12868,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Nevada (Kilowatthours)",4563,4130,4291,4059,4385,4338,4178,4433,4621,4545,4538,4461,4488,4451,4565,4208,4517,4422,4303,4334,4659,4578,4463,4598,4549,4556,4748,4763,4545,4425,4298,4236,4417,4373,4227,4301,4347,4353,4438,4163,
"Distillate fuel oil consumed by the residential sector, Nevada (Billion Btu)",1088,877,918,1268,1487,1609,1456,1604,1577,1486,1241,1283,1440,1548,1358,1024,1154,1514,1586,1211,1233,1271,1210,990,992,1187,913,850,923,678,562,428,301,167,147,188,221,241,224,266,
"Propane consumed by the residential sector, Nevada (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2390,2469,1731,2499,1973,1985,2037,2199,1857,2006,
"Distillate fuel oil consumed by the commercial sector, Nevada (Billion Btu)",2054,1935,447,2025,2374,1835,2912,3526,2466,2231,1813,1703,1976,5257,4752,4839,5746,1640,1795,2121,2333,1952,2080,1631,2165,2872,3022,1768,1742,1419,1991,2044,1183,1844,1666,2369,2549,2765,2985,2571,
"Electricity consumed by (i.e., sold to) the commercial sector, Nevada (Million kilowatthours)",1775,2035,1906,1954,3183,3408,3454,3737,4032,4295,4550,4671,4909,5037,5417,5509,5973,6383,6544,7007,7147,7321,8130,8168,8275,8516,8975,9352,9304,8950,8970,8995,9315,9302,9418,9614,9929,11123,12124,11681,
"Total energy consumption per capita in the commercial sector, Nevada (Million Btu)",42.6,41.8,37,42.7,57.6,57.5,55.8,58.3,58.6,60.3,60.6,59.1,57.7,59.7,61.2,58.1,61,57.3,55.3,55.8,54.6,52.1,52.5,51.9,50.8,49.5,50,47.8,46.2,43,43.5,44.2,43,43.8,42.8,43.4,44,47.9,50.4,49.8,
