,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,ID,28692,30247,31988,27442,28870,26937,29119,31407,27807,26088
50,Year Built: 1950-1959,ID,51692,48083,46757,49591,47223,46983,45346,42861,48929,43223
51,Year Built: 1960-1969,ID,46887,47192,47886,47469,45052,43351,42923,46165,48172,48990
52,Year Built: 1970-1979,ID,131402,126705,130436,128650,133078,127291,129846,124372,133468,126608
53,Year Built: 1980-1989,ID,72082,71278,69707,70601,77088,78263,77432,71924,78687,77169
54,Year Built: 1990-1999,ID,128810,130726,122893,124667,132317,126428,125733,137483,134583,133154
55,Year Built: 2000-2009,ID,79762,83319,153843,152416,146043,155883,151227,152067,136851,144715
56,Year Built: 2010-2013,ID,65554,75075,8794,12395,17480,25153,23543,27931,22819,26234
57,Year Built: 2014 or later,ID,,,,,,4177.0,18436.0,29649.0,41937.0,59997.0
58,Year Built: before 1940,ID,63753,61769,60744,62961,57947,58016,57224,57959,62450,64935
