,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,ID,2.75,2.73,2.71,2.69,2.75,2.76,2.77,2.77,2.77,2.76
1,Avg household size of renter-occupied unit,ID,2.51,2.58,2.63,2.69,2.64,2.63,2.56,2.53,2.51,2.48
2,House Heating Fuel: Electric,ID,183522,191360,189786,196590,194895,201596,204797,204963,212296,225718
3,House Heating Fuel: Fuel Oil,ID,13320,11233,10232,9764,10243,8511,8601,7477,10065,9851
4,House Heating Fuel: Gas,ID,301227,293858,303445,296247,303196,307083,317194,329995,334824,333883
5,House Heating Fuel: Propane,ID,31483,29016,27523,30365,27837,27508,29878,32187,31162,33933
6,House Heating Fuel: Wood,ID,40437,48446,46012,46389,48610,45444,41276,43339,44366,43627
25,Median Number of Rooms,ID,5.6,5.7,5.6,5.7,5.7,5.7,5.7,5.8,5.8,5.8
26,Number of Rooms: 1,ID,10067,11898,10225,11335,12189,9851,17069,14489,13248,13148
27,Number of Rooms: 2,ID,18703,17955,14352,18889,18376,16781,15170,16625,19919,17620
28,Number of Rooms: 3,ID,49289,48869,51427,44467,47648,48608,39982,44623,47973,49273
29,Number of Rooms: 4,ID,108684,107946,107154,105450,107204,105555,107728,101217,102499,113303
30,Number of Rooms: 5,ID,136044,132693,140649,134820,132963,140143,144427,147303,138606,141976
31,Number of Rooms: 6,ID,109603,113562,109541,115945,115217,114185,119628,127408,133324,122922
32,Number of Rooms: 7,ID,79213,86388,88062,83745,80721,84216,79398,94767,96398,92635
33,Number of Rooms: 8,ID,65748,63745,58032,61040,66945,65797,69111,67460,74951,76773
34,Number of Rooms: 9+,ID,91283,91338,93606,100501,103835,107346,108316,107926,108785,123463
35,Owner-Occupied,ID,1102909,1088095,1080884,1098222,1105285,1136116,1159546,1207855,1253504,1293968
36,Renter-Occupied,ID,439590,467939,485321,484498,499578,488440,493542,479142,470543,462766
37,Total Housing Units,ID,668634,674394,673048,676192,685098,692482,700829,721818,735703,751113
38,Total Population,ID,1571450,1584985,1595728,1612136,1634464,1654930,1683140,1716943,1754208,1787065
39,Units in Structure: 1 ATTACHED,ID,20785,19877,20320,17648,18763,21580,21318,19243,24127,24711
40,Units in Structure: 1 DETACHED,ID,475498,488706,495241,500212,498957,505010,513442,540337,532952,547391
41,Units in Structure: 10-19,ID,13493,11404,13797,13644,15592,13854,15731,15151,16671,15223
42,Units in Structure: 2,ID,17617,17743,14898,17848,14992,15858,17360,14993,17811,16451
43,Units in Structure: 20-49,ID,11386,13120,10567,13075,12223,11404,11979,11522,12179,16428
44,Units in Structure: 3-4,ID,31342,35374,29444,25835,31312,32213,28941,30957,31382,32346
45,Units in Structure: 5-9,ID,19214,20445,21985,17674,20859,19417,20025,18485,19049,21536
46,Units in Structure: 50+,ID,13690,9331,10020,8944,11327,10467,15958,16668,16743,12244
47,"Units in Structure: Boat,RV,Van,Etc.",ID,1312,1263,888,1120,1023,658,1728,906,2135,1735
48,Units in Structure: Mobile Home,ID,64297,57131,55888,60192,60050,62021,54347,53556,62654,63048
49,Year Built: 1940-1949,ID,28692,30247,31988,27442,28870,26937,29119,31407,27807,26088
50,Year Built: 1950-1959,ID,51692,48083,46757,49591,47223,46983,45346,42861,48929,43223
51,Year Built: 1960-1969,ID,46887,47192,47886,47469,45052,43351,42923,46165,48172,48990
52,Year Built: 1970-1979,ID,131402,126705,130436,128650,133078,127291,129846,124372,133468,126608
53,Year Built: 1980-1989,ID,72082,71278,69707,70601,77088,78263,77432,71924,78687,77169
54,Year Built: 1990-1999,ID,128810,130726,122893,124667,132317,126428,125733,137483,134583,133154
55,Year Built: 2000-2009,ID,79762,83319,153843,152416,146043,155883,151227,152067,136851,144715
56,Year Built: 2010-2013,ID,65554,75075,8794,12395,17480,25153,23543,27931,22819,26234
57,Year Built: 2014 or later,ID,,,,,,4177.0,18436.0,29649.0,41937.0,59997.0
58,Year Built: before 1940,ID,63753,61769,60744,62961,57947,58016,57224,57959,62450,64935
