,urban_area,white_pctDiff,POC_pctDiff,latino_pctDiff,black_pctDiff,asian_pctDiff,state
0,"Anniston--Oxford, AL",0.000137244947695094,-0.000232881137436402,0.000341788795452956,-0.000804483837945447,0.001673217768365,AL
1,"Auburn, AL",0.00390224962534367,-0.0086408455383219,0.0233746621588136,-0.0258881334530193,0.00967125153103532,AL
2,"Birmingham, AL",-0.0470574975831337,0.0478504944996426,-0.0229834347845807,0.0594082945121258,0.0450479206235119,AL
3,"Columbus, GA--AL",-0.0705612827080842,0.0521418813385571,-0.0193075220268874,0.0747728426493496,-0.102156361517355,AL
4,"Daphne--Fairhope, AL",-0.00225704501702184,0.00924376777601967,-0.0512579644227523,0.0546345262597891,0.00419718621514706,AL
5,"Decatur, AL",0.0166768598268622,-0.0380509604495903,-0.0188739033188659,-0.0537838946816851,0.0225298974048439,AL
6,"Dothan, AL",0.0159031341159842,-0.032936672354941,0.00139610762630496,-0.0423193374349988,0.0322035530295122,AL
7,"Florence, AL",-0.00706716769095601,0.0198118193749256,0.0330111218587854,0.019742698178874,-0.0252637444984802,AL
8,"Gadsden, AL",-0.0100543962532998,0.0235564411464125,0.0105942721342741,0.0288985543374867,0.00810712725925486,AL
9,"Huntsville, AL",-0.0368045615979421,0.056166035281015,0.0480436632223072,0.0736234172430608,-0.0276320064620134,AL
10,"Mobile, AL",-0.0476063695808478,0.046835143872886,-0.00119626104170612,0.0564701065913846,0.0132668800560591,AL
11,"Montgomery, AL",-0.0854274961189994,0.0627887824701223,-0.0173897788356612,0.0806253197613102,-0.114229099457327,AL
12,"Pensacola, FL--AL",-0.0436830128994673,0.0775185908723879,0.00392730692795746,0.117023243727221,0.0206640726657123,AL
13,"Tuscaloosa, AL",-0.00224004288353879,0.00281732993635987,0.025230353045939,-0.00310993604103325,0.0383498659081061,AL
14,"Conway, AR",-0.00303420585075111,0.00780965633453759,0.0189757880974101,0.00603914207764405,0.0112035738885706,AR
15,"Hot Springs, AR",0.00142209841553118,-0.00671044456757702,-0.0053288682563665,-0.0157464497938396,0.00795624985538947,AR
16,"Jonesboro, AR",-0.00951245797198776,0.0224589784078521,0.0162063999632127,0.02622722597306,0.00887538601733112,AR
17,"Little Rock, AR",-0.0388400872583136,0.0480694524657939,-0.015952263018777,0.066384162478547,-0.0131212749621677,AR
18,"Memphis, TN--MS--AR",0.00165395105040663,-0.00095063548922217,0.0842602493261255,-0.00968925301925112,-0.0251155858447479,AR
