,state,POC_pctDiff,hispanic_pctDiff,black_pctDiff,asian_pctDiff,white_pctDiff
589,AL,0.169744762479924,0.0457029096583962,0.207660534302767,0.197652401954854,-0.08716050278069494
590,AR,0.136769354334783,0.354033728475833,0.0161418447337424,0.382482109048511,-0.05027472221242194
591,AZ,0.0178363517094188,0.0583296399764025,0.0945279946115408,0.133630283338835,-0.013914952290854987
592,CA,0.102822050030142,0.0900569647033913,0.218657741450504,0.14800926888393,-0.16628954118621214
593,CO,0.167932649191012,0.0977604328790953,0.564222281787636,0.278759631210844,-0.07561244586054719
594,CT,0.362147651481695,0.417406405823744,0.47754261135115,0.0921182076464786,-0.165318076645046
595,DE,0.0723138976409628,0.0543480015382736,0.10199132623758,0.0136270857016635,-0.04128709096545367
596,FL,-0.00876527518480367,-0.0906414868840817,0.0849898043243032,0.0916172899860992,0.007168782082593641
597,GA,0.173897694953647,0.19558532470431,0.125709485279319,0.58041972830128,-0.14730801751730604
598,IA,0.257641196983097,0.10594799576067,0.521691167632807,0.362162631944492,-0.04005597198635818
599,ID,-0.0239151211602225,-0.102779510864435,0.653616921188638,0.429570057291052,0.004961295233395921
600,IL,0.393303872801045,0.437827080297326,0.389820714073393,0.39841616854172,-0.23924821719291256
601,IN,0.427731922676115,0.405039126764116,0.598502678418649,0.0584630467369226,-0.10661875965502227
602,KS,0.205591881378418,0.15022908011467,0.388825409686726,0.335470864369956,-0.06148641471489311
603,KY,0.489527661815741,0.243557942887077,0.687081201345491,0.47248179934844,-0.08311982883706875
604,LA,0.115323078125381,0.327371679652009,0.0857815528737609,0.2956312764666,-0.07922951435905737
605,MA,0.404013724291148,0.361899047198725,0.602507376208179,0.360025680534179,-0.14569430856115465
606,MD,0.238076116004414,0.260039806564035,0.317018287242265,-0.0584459714544788,-0.2259253804403882
607,ME,0.232369539068,0.200200444221878,0.704545407980557,0.232560771094873,-0.015586363400248233
608,MI,0.422376644328903,0.0436131174363078,0.68681559831983,0.238747374956783,-0.13577453365508488
609,MN,0.509504210462689,0.361931971014475,0.800374839719321,0.619363119931397,-0.11689365147006794
610,MO,0.582312273504955,0.167965179527363,0.901463224396734,0.410125948035702,-0.1394736136460387
611,MS,0.0781919545698922,0.0571314007060518,0.0824025982797097,0.120048687835253,-0.059144840595092035
612,MT,-0.0503322697175768,0.16905235384164,0.665734625950568,0.358335940123807,0.007617033985050489
613,NC,0.120142347515747,0.122140867181697,0.112446412581109,0.405974156288515,-0.06796414099043498
614,ND,0.000883488440235182,-0.0192396632593244,0.682257866049999,0.765694506003228,-0.00014043024407016605
615,NE,0.308861733880564,0.140128204238872,0.76165143699107,0.468739557616255,-0.0743933484139294
616,NH,0.456026396269251,0.731933301027674,0.567826666560287,0.311731207485616,-0.042747863716651666
617,NJ,0.158295238417589,0.290300456066491,0.101591253316047,-0.00876309793542652,-0.11778322601054832
618,NM,-0.0516911813996709,-0.00607625064288541,0.266314764369586,0.504248010070898,0.08293949671594479
619,NV,0.0519172032816684,0.104661007699258,-0.0431146478914479,0.00144432000335266,-0.049220957766093865
620,NY,0.532838038150487,0.416314916740654,0.652924446075585,0.715687869990025,-0.41010420354906496
621,OH,0.361635935189596,0.19299052046857,0.485040026604276,0.213885912041364,-0.09059962437197693
622,OK,0.115935321532667,0.261909300246516,0.365591762987472,0.378127066611463,-0.056835546790825094
623,OR,0.181074403298147,-0.0193726815604776,0.807047496211482,0.667132914652318,-0.05398522943292108
624,PA,0.895317498170368,0.56032038986288,1.29693162211756,0.68134955796386,-0.2576524283322168
625,RI,0.437713859563003,0.522796151022237,0.479854190874536,0.216779880190708,-0.16496954074330317
626,SC,-0.0090439062439893,0.0685791973531075,-0.0387706154960406,0.221517910134922,0.00517964494575096
627,SD,0.0158632163809612,0.250971773120672,1.24748022642406,0.449385196537338,-0.0032042752069041096
628,TN,0.521506817165107,0.285058448455052,0.675263057327918,0.390218717924109,-0.17693244436955632
629,TX,0.0583701219401287,-0.0254030969910523,0.169177743552654,0.497460339787276,-0.07520471090080756
588,US,0.414225208879709,0.304445594224793,0.483978127045085,0.918926736403281,-0.2524616523464912
630,UT,0.227238912736424,0.229309669893909,0.390147581914139,0.438751284589202,-0.0591554081282566
631,VA,0.155491603622264,0.403759750785702,-0.0498517295659061,0.451141191447251,-0.09005636509570833
632,VT,0.256167404464839,0.180854586709849,0.460876114736509,0.497059062549054,-0.01864029797795483
633,WA,0.0905830032677637,-0.228997527671695,0.243649469821112,0.57453751406252,-0.039121514699583956
634,WI,0.807065639550143,0.813070286826919,1.36003529777095,0.26586205949393,-0.17479649506981826
635,WV,0.171244155157889,0.135681978053829,0.200244784473174,0.266690359803944,-0.013884251434863512
636,WY,0.107067731355462,0.122371842263393,0.461080687011212,0.134734835250297,-0.0199428096357528
