,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, North Carolina (Million cubic feet)",27353,30434,33043,28435,26830,27466,33727,32277,35072,32244,33963,33053,31588,31228,32405,28649,31701,35903,38384,38658,35003,37976,42588,47104,47451,49379,58812,52894,50786,52853,63899,56815,58904,65410,62800,63865,56506,58365,63912,65642,74520,61644,56511,69654,75178,64523,64547,59933,73262,67948,
"Natural gas consumed by (delivered to) the commercial sector, North Carolina (Million cubic feet)",21532,26331,24200,23044,21002,21615,20042,18303,20366,23916,26172,26367,24891,24705,26174,25029,25474,30010,32464,33145,31277,34313,36418,37370,38940,37362,40467,38021,36427,38019,43113,38583,40198,44262,45383,47696,46321,45434,48567,51303,56225,49898,48951,55271,59945,55114,55876,53726,57989,57310,
"Natural gas consumed by the industrial sector, North Carolina (Million cubic feet)",75065,76640,83771,95652,86817,62094,44616,19749,23948,69116,85611,85901,78927,74696,79527,74808,72475,76425,74874,82629,86184,84863,90984,92309,94838,106731,104124,111513,106497,107284,106547,88844,98306,88445,90133,86821,87150,88401,89317,82253,92321,99110,102151,109662,107904,105103,105504,107373,116776,119114,
"Natural gas consumed by the electric power sector, North Carolina (Million cubic feet)",21126,20927,16812,7748,1072,101,6,1,4,591,1702,902,76,163,121,595,1137,1162,1068,1704,2827,4099,4321,3272,1525,5648,3590,5917,13685,12412,12942,16247,31877,14350,21423,27009,28374,40154,35963,39916,73072,89799,150866,201489,205740,269354,293272,278240,330119,303694,
"Residential carbon dioxide emissions, natural gas, North Carolina (million metric tons CO2)",,,,,,,,,,,1.823133,1.77448,1.731239,1.711555,1.77777,1.571698,1.737447,1.963893,2.097595,2.114733,1.916725,2.079397,2.336456,2.586884,2.608319,2.706792,3.233167,2.908195,2.804894,2.904481,3.494524,3.142387,3.239799,3.617404,3.450275,3.512829,3.102276,3.200166,3.491659,3.573313,4.023234,3.314927,3.041155,3.747923,4.08791,3.543761,3.542859,3.293758,4.001215,,
"Commercial carbon dioxide emissions, natural gas, North Carolina (million metric tons CO2)",,,,,,,,,,,1.404941,1.415552,1.364193,1.354006,1.435926,1.373107,1.396186,1.641573,1.774056,1.813159,1.712669,1.87879,1.997955,2.052285,2.140518,2.048093,2.224613,2.090433,2.011856,2.089318,2.357732,2.133939,2.210924,2.447875,2.493345,2.623493,2.543059,2.491117,2.653311,2.792744,3.035531,2.683288,2.634317,2.973985,3.259589,3.026989,3.066888,2.952657,3.167112,,
"Industrial carbon dioxide emissions, natural gas, North Carolina (million metric tons CO2)",,,,,,,,,,,4.595609,4.611685,4.325816,4.093905,4.362903,4.103986,3.972193,4.180494,4.091677,4.52011,4.719391,4.64665,4.991518,5.069458,5.213136,5.850718,5.724178,6.131175,5.881756,5.895763,5.826842,4.913843,5.406899,4.891347,4.951885,4.775524,4.78465,4.847045,4.879622,4.477558,4.984302,5.329701,5.497307,5.900644,5.867431,5.772459,5.79087,5.900962,6.377783,,
"Natural Gas Citygate Price in North Carolina, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.26,4.12,3.42,3.26,2.87,3.01,2.88,2.69,2.88,3.15,3.27,2.95,3.74,3.97,3.49,3.33,5.09,6.74,4.52,6.79,7.45,10.11,9.42,8.55,10.32,6.44,6.02,5.45,4,4.63,5.41,3.81,3.44,3.92,4.13,3.85,3.27
"North Carolina Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.3,1.34,1.41,1.51,1.69,2.02,2.13,2.81,3.0,3.52,4.11,5.17,5.73,6.65,6.68,6.6,6.62,6.66,6.25,6.55,6.17,6.24,6.6,6.99,7.3,6.93,7.59,8.98,8.69,8.33,9.53,12.34,9.37,11.48,12.7,15.38,16.93,15.7,16.58,14.25,12.5,12.55,12.19,11.83,11.88,11.57,11.31,13.29,12.11,12.88,
"North Carolina Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.96,0.98,1.07,1.14,1.28,1.74,2.04,3.05,2.79,3.09,3.71,4.72,5.24,6.01,6.07,5.84,5.56,5.21,4.94,5.14,4.63,4.53,4.79,5.51,5.56,5.24,6.18,7.0,6.63,6.22,7.61,10.14,7.25,9.79,10.45,12.93,14.06,12.77,14.19,11.63,10.18,9.64,8.62,8.81,9.12,8.27,7.71,8.92,8.48,8.76,
