,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,MS,48135,46184,52827,49377,45381,43442,46928,43804,44299,39697
50,Year Built: 1950-1959,MS,100898,101926,93871,93107,101556,94565,104160,98148,90905,98051
51,Year Built: 1960-1969,MS,162308,156150,153879,155969,159300,156932,145440,153746,152433,154780
52,Year Built: 1970-1979,MS,238987,242672,245674,240845,234048,246956,246572,246159,238567,240990
53,Year Built: 1980-1989,MS,203384,198494,194838,191911,191245,193166,195037,185888,203012,197071
54,Year Built: 1990-1999,MS,228619,224818,224006,236151,232746,228088,224102,228604,232389,232591
55,Year Built: 2000-2009,MS,130329,125250,237205,229366,232410,230663,223604,229498,222560,214095
56,Year Built: 2010-2013,MS,102758,121878,19663,24576,37668,39652,44728,45808,46625,41008
57,Year Built: 2014 or later,MS,,,,,,5037.0,18710.0,34878.0,41954.0,57022.0
58,Year Built: before 1940,MS,61023,64388,61934,61890,60384,62431,58211,57221,59887,63742
