,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Tennessee (Million cubic feet)",46571,46992,53763,45993,43586,44020,43749,43530,39807,45136,44894,41857,42023,40596,44045,39434,40240,43483,47668,49196,46340,49357,52220,58919,57334,59994,70423,64130,59386,60561,68428,68053,69330,69746,65331,66277,61018,60736,69181,66111,74316,67190,53810,71241,78395,67312,58924,56661,74802,68686,
"Natural gas consumed by (delivered to) the commercial sector, Tennessee (Million cubic feet)",42720,44062,45704,45974,44651,42488,38244,35127,30917,42714,44048,42686,38697,42903,46544,43399,42589,44144,45852,47513,43552,45953,46532,50754,50760,51235,58497,55117,52394,52572,53365,53010,53710,56576,54201,54264,51537,51056,54094,51879,56194,52156,44928,53888,57435,53049,49809,49042,58669,56315,
"Natural gas consumed by the industrial sector, Tennessee (Million cubic feet)",123145,129226,136259,161211,147950,111668,115063,109629,98909,118441,123122,121120,109878,100115,103053,97247,91602,97667,103409,106943,109777,115830,126269,124337,118915,125846,126566,138909,144591,144568,129745,118614,118321,112493,98747,94966,93666,92032,91996,83550,94682,106898,105531,110952,117288,115072,123235,134790,147159,147810,
"Natural gas consumed by the electric power sector, Tennessee (Million cubic feet)",17253,18082,16165,11986,0,0,176,0,0,0,1105,316,0,107,0,0,0,0,225,18,565,211,291,1531,1019,2055,572,1636,6213,5875,5250,2479,2596,5621,2262,5627,6691,7291,4411,3668,22156,26314,62961,36613,45083,69752,87692,75574,103091,118725,
"Residential carbon dioxide emissions, natural gas, Tennessee (million metric tons CO2)",,,,,,,,,,,2.420021,2.256341,2.283134,2.203443,2.392962,2.163386,2.203337,2.380865,2.607523,2.69374,2.544757,2.705147,2.856518,3.235661,3.139363,3.282032,3.856105,3.508266,3.245954,3.300178,3.765219,3.744156,3.796417,3.822733,3.580847,3.640536,3.361458,3.346231,3.806975,3.605784,4.034641,3.618252,2.89838,3.851649,4.276633,3.698262,3.247121,3.125568,4.117357,,
"Commercial carbon dioxide emissions, natural gas, Tennessee (million metric tons CO2)",,,,,,,,,,,2.374445,2.301015,2.102423,2.328657,2.528734,2.380918,2.331947,2.417103,2.508148,2.601528,2.391635,2.5186,2.545394,2.787279,2.779427,2.802878,3.203084,3.01521,2.863787,2.864848,2.936368,2.916525,2.941143,3.100844,2.970802,2.98067,2.839168,2.812905,2.976744,2.829565,3.050811,2.808661,2.419968,2.913448,3.133208,2.914615,2.744834,2.705253,3.233857,,
"Industrial carbon dioxide emissions, natural gas, Tennessee (million metric tons CO2)",,,,,,,,,,,6.636965,6.529047,5.969671,5.433958,5.598858,5.335007,5.015606,5.347688,5.656637,5.855599,6.028352,6.348389,6.907129,6.828234,6.511326,6.884633,6.930262,7.599041,7.903109,7.878013,7.13904,6.525917,6.479174,6.165609,5.412417,5.216425,5.160026,5.070466,5.062455,4.556931,5.140289,5.756542,5.684226,5.998587,6.398316,6.322285,6.791147,7.435361,8.121384,,
"Natural Gas Citygate Price in Tennessee, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.62,3.77,3.25,2.77,2.77,2.81,2.88,2.73,2.9,2.93,2.71,2.71,4.04,3.6,3.47,3.15,4.72,6.11,4.13,5.96,6.68,9.08,9,8.87,9.43,6.57,5.78,5.23,4.35,4.73,5.37,4.06,3.42,4.09,4.1,3.54,
"Tennessee Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.91,0.98,1.02,1.08,1.17,1.29,1.61,2.09,2.14,2.37,2.89,3.44,4.32,5.26,5.04,5.12,4.97,4.68,4.65,4.83,5.11,5.19,5.5,5.69,6.13,5.77,6.26,6.91,6.73,6.53,7.49,10.16,8.15,9.66,10.6,13.5,14.74,13.42,14.2,12.15,10.46,10.21,9.95,9.44,10.13,9.62,9.21,10.31,9.46,9.45,
"Tennessee Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.71,0.77,0.86,0.91,0.98,1.13,1.43,2.07,2.04,2.47,3.0,3.54,4.43,5.15,4.87,4.91,4.67,4.33,4.38,4.49,4.8,4.76,5.06,5.27,5.56,5.18,5.72,6.11,6.04,5.73,6.83,9.4,7.37,8.86,9.51,12.47,13.06,11.99,13.01,10.67,9.39,9.04,8.36,8.41,9.3,8.46,7.8,8.74,8.41,8.1,
