,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,WY,5.6,5.5,5.7,5.6,5.6,5.6,5.7,5.6,5.7,5.7
26,Number of Rooms: 1,WY,4095,4304,4669,5055,4223,4207,5253,5337,4419,4385
27,Number of Rooms: 2,WY,7876,7809,7129,7548,7902,6482,4827,7301,6651,7918
28,Number of Rooms: 3,WY,18244,21641,18489,18772,23069,20111,19914,22574,21099,18653
29,Number of Rooms: 4,WY,46262,43983,43378,42377,40293,40753,48582,44254,48972,44324
30,Number of Rooms: 5,WY,52273,54756,52563,52691,52068,57908,46496,52552,48300,54958
31,Number of Rooms: 6,WY,40015,38839,41194,42142,44355,42125,47887,43904,42977,44370
32,Number of Rooms: 7,WY,32754,32171,33632,33083,27586,32730,32900,30464,35671,32767
33,Number of Rooms: 8,WY,26710,26580,25291,24743,26919,27294,23617,27179,27481,29033
34,Number of Rooms: 9+,WY,34057,35471,38862,39060,41790,37859,41149,43168,43045,43873
