,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,WY,14430,11290,11706,13166,12152,13225,11988,14017,13681,15591
50,Year Built: 1950-1959,WY,25564,28134,25184,24425,25991,21421,24972,24106,24386,24773
51,Year Built: 1960-1969,WY,21776,19929,21870,23312,22704,21250,20081,21982,20403,20264
52,Year Built: 1970-1979,WY,59782,59356,57637,58686,57570,53744,52842,53656,50739,52047
53,Year Built: 1980-1989,WY,39119,39208,40455,33713,37610,39132,40443,40027,42721,40567
54,Year Built: 1990-1999,WY,30892,31893,31881,31497,33118,31889,32955,27912,31556,37391
55,Year Built: 2000-2009,WY,18402,21774,41368,44617,41768,46336,42434,44526,41734,39005
56,Year Built: 2010-2013,WY,20258,21961,3602,6747,8694,9939,10389,10832,13117,9692
57,Year Built: 2014 or later,WY,,,,,,1981.0,4382.0,7253.0,8997.0,11878.0
58,Year Built: before 1940,WY,32063,32009,31504,29308,28598,30552,30139,32422,31281,29073
