,state,source,all_exp,white_exp,POC_exp,hispanic_exp,black_exp,asian_exp,POC_pctDiff,hispanic_pctDiff,black_pctDiff,asian_pctDiff
0,Montana,All,1.36944803559474,1.37684473069445,1.32057173367613,1.52178036759563,1.78747048729766,1.61836325442844,-0.035690512270789,0.111236299619606,0.305248860006124,0.18176317199623
1,Montana,Agriculture,0.232638332765703,0.232904601719122,0.230878865654591,0.243200161821485,0.240786846237937,0.225401378800145,-0.00756310058705567,0.0454002095450823,0.0350265297011083,-0.0311081749921508
2,Montana,Coal Elec. Util.,0.0166929191314888,0.0162264288830072,0.0197754198861503,0.0178879163878106,0.0164390729980016,0.0149172713538002,0.184659179762443,0.0715870751489848,-0.0152068150266364,-0.106371316107267
3,Montana,Commercial Cooking,0.0250856427704116,0.0253186719210332,0.0235458195158266,0.0301659093861104,0.0424988428554834,0.034097400595026,-0.0613826509720252,0.202516900292103,0.694150046081758,0.35923966178948
4,Montana,Construction,0.0534273293610698,0.054031745197657,0.049433436072896,0.0628093043558437,0.084800259970982,0.0731568880818847,-0.074753751234363,0.175602544745764,0.587207539382875,0.369278400338516
5,Montana,Heavy Duty Diesel Veh.,0.11276405800514,0.113029224449717,0.11101187611456,0.132412508992249,0.171928134681606,0.137088716561864,-0.0155384784972815,0.174243915434601,0.524671404373994,0.215712869748053
6,Montana,Industrial,0.273167419122424,0.273687392518638,0.269731509387012,0.312892284562546,0.352251356569187,0.333477054545836,-0.0125780363794857,0.145423145877871,0.289507210269905,0.220779021221353
7,Montana,Light Duty Gas Veh.,0.122588352366237,0.122939903381388,0.120265353604673,0.137531405089164,0.177746622339454,0.145728757228788,-0.0189495879235283,0.121896186990783,0.449947070080763,0.18876511851157
8,Montana,Miscellaneous,0.0720185998333671,0.07207293806287,0.0716595405947341,0.0823858304829628,0.0885584801829642,0.0805647320665924,-0.00498564592291116,0.143952127277993,0.22966123179104,0.118665626004932
9,Montana,Non-coal Elec. Util.,0.00274728757960839,0.00271248932571822,0.00297722945776441,0.00309582270170322,0.0027884568727304,0.00261529618139122,0.0836977824464947,0.126865175921815,0.0149854326964483,-0.0480442597989627
10,Montana,Off-highway Veh. & Equip.,0.0960491592567469,0.0957848104641748,0.0977959382199721,0.100008560274117,0.10873224147765,0.0981794766098599,0.0181863014392028,0.0412226514839818,0.132047821334908,0.0221794482075419
11,Montana,Residential Other,0.0218783761437305,0.0220569768054231,0.02069820854914,0.0250815722177166,0.0349949615982443,0.0293581108271786,-0.0539421932796724,0.146409224018395,0.599522805913205,0.341877963625351
12,Montana,Residential Gas Comb.,0.0158822390537615,0.0160032146083927,0.0150828499139886,0.0185671689500756,0.026455595529475,0.0215734161163622,-0.0503322697175768,0.16905235384164,0.665734625950568,0.358335940123807
13,Montana,Residential Wood,0.0568781837131465,0.0577534334260547,0.0510946589570806,0.0616931428520133,0.079521247465055,0.0742372300784046,-0.101682655431369,0.0846538835197347,0.398097517777715,0.305196917904497
14,Montana,Road Dust,0.267630136491899,0.272322899931253,0.236621027747744,0.294048779521835,0.359968368518884,0.347967525381306,-0.11586553424298,0.0987132591875909,0.345021802243034,0.30018065208377
