,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
74,ID,Bonner,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
75,ID,Bonner,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
76,ID,Bonner,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
77,ID,Bonner,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
78,ID,Bonneville,All Sectors,Ammonia,CAP,1572.1765304876283,TON
79,ID,Bonneville,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
80,ID,Bonneville,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
81,ID,Bonneville,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
82,ID,Bonneville,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
83,ID,Bonneville,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
84,ID,Bonneville,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
85,ID,Bonneville,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
86,ID,Bonneville,All Sectors,Methane,GHG,652.3865594416856,TON
87,ID,Bonneville,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
88,ID,Boundary,All Sectors,Ammonia,CAP,1572.1765304876283,TON
89,ID,Boundary,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
90,ID,Boundary,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
91,ID,Boundary,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
92,ID,Boundary,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
93,ID,Boundary,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
94,ID,Boundary,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
95,ID,Butte,All Sectors,Ammonia,CAP,1572.1765304876283,TON
96,ID,Butte,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
97,ID,Butte,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
98,ID,Butte,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
99,ID,Butte,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
100,ID,Butte,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
101,ID,Butte,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
102,ID,Butte,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
103,ID,Butte,All Sectors,Methane,GHG,652.3865594416856,TON
104,ID,Butte,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
105,ID,Camas,All Sectors,Ammonia,CAP,1572.1765304876283,TON
106,ID,Camas,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
107,ID,Camas,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
108,ID,Camas,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
109,ID,Camas,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
110,ID,Camas,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
111,ID,Camas,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
112,ID,Camas,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
113,ID,Camas,All Sectors,Methane,GHG,652.3865594416856,TON
114,ID,Camas,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
115,ID,Canyon,All Sectors,Ammonia,CAP,1572.1765304876283,TON
116,ID,Canyon,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
117,ID,Canyon,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
118,ID,Canyon,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
119,ID,Canyon,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
120,ID,Canyon,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
121,ID,Canyon,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
122,ID,Caribou,All Sectors,Ammonia,CAP,1572.1765304876283,TON
123,ID,Caribou,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
124,ID,Caribou,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
125,ID,Caribou,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
126,ID,Caribou,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
127,ID,Caribou,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
128,ID,Caribou,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
129,ID,Caribou,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
130,ID,Caribou,All Sectors,Methane,GHG,652.3865594416856,TON
131,ID,Caribou,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
132,ID,Cassia,All Sectors,Ammonia,CAP,1572.1765304876283,TON
133,ID,Cassia,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
134,ID,Cassia,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
135,ID,Cassia,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
136,ID,Cassia,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
137,ID,Cassia,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
138,ID,Cassia,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
139,ID,Clark,All Sectors,Ammonia,CAP,1572.1765304876283,TON
140,ID,Clark,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
141,ID,Clark,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
142,ID,Clark,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
143,ID,Clark,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
144,ID,Clark,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
145,ID,Clark,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
146,ID,Clearwater,All Sectors,Ammonia,CAP,1572.1765304876283,TON
147,ID,Clearwater,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
148,ID,Clearwater,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
149,ID,Clearwater,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
150,ID,Clearwater,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
151,ID,Clearwater,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
152,ID,Clearwater,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
153,ID,Custer,All Sectors,Ammonia,CAP,1572.1765304876283,TON
154,ID,Custer,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
155,ID,Custer,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
156,ID,Custer,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
157,ID,Custer,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
158,ID,Custer,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
159,ID,Custer,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
160,ID,Elmore,All Sectors,Ammonia,CAP,1572.1765304876283,TON
161,ID,Elmore,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
162,ID,Elmore,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
163,ID,Elmore,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
164,ID,Elmore,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
165,ID,Elmore,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
166,ID,Elmore,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
167,ID,Elmore,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
168,ID,Elmore,All Sectors,Methane,GHG,652.3865594416856,TON
169,ID,Elmore,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
170,ID,Franklin,All Sectors,Ammonia,CAP,1572.1765304876283,TON
171,ID,Franklin,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
172,ID,Franklin,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
173,ID,Franklin,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
174,ID,Franklin,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
175,ID,Franklin,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
176,ID,Franklin,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
177,ID,Franklin,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
178,ID,Franklin,All Sectors,Methane,GHG,652.3865594416856,TON
179,ID,Franklin,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
180,ID,Fremont,All Sectors,Ammonia,CAP,1572.1765304876283,TON
181,ID,Fremont,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
182,ID,Fremont,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
183,ID,Fremont,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
184,ID,Fremont,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
185,ID,Fremont,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
186,ID,Fremont,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
187,ID,Fremont,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
