,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,CO,5.7,5.6,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
26,Number of Rooms: 1,CO,37486,39053,40474,40252,43397,53317,50461,52706,60373,51194
27,Number of Rooms: 2,CO,71626,81194,78520,86575,80909,81826,87355,91453,101067,106327
28,Number of Rooms: 3,CO,234279,226502,221276,223494,236377,227672,232680,235695,246177,257122
29,Number of Rooms: 4,CO,338131,356896,347843,343914,350586,366890,358349,364206,373187,370581
30,Number of Rooms: 5,CO,376095,363322,370621,373453,363043,355235,372794,365469,363851,378477
31,Number of Rooms: 6,CO,323009,319842,341441,325431,325141,341040,343597,351243,357686,355575
32,Number of Rooms: 7,CO,269095,267281,265455,267038,268699,262089,256842,280786,277058,275638
33,Number of Rooms: 8,CO,218762,218088,212780,212614,227408,229460,235640,233098,233502,231507
34,Number of Rooms: 9+,CO,345779,352483,352126,374520,380720,391593,401422,410839,411227,437688
