,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,CO,2.59,2.6,2.59,2.62,2.64,2.65,2.64,2.64,2.67,2.63
1,Avg household size of renter-occupied unit,CO,2.38,2.41,2.45,2.49,2.45,2.44,2.45,2.42,2.36,2.32
2,House Heating Fuel: Electric,CO,350502,378790,401621,432137,428152,470730,478032,483786,503980,526565
3,House Heating Fuel: Fuel Oil,CO,2742,2606,1692,2089,1683,2431,1715,1823,2500,1837
4,House Heating Fuel: Gas,CO,1447926,1436516,1436739,1407423,1445808,1438590,1462841,1483056,1502352,1529865
5,House Heating Fuel: Propane,CO,100015,95799,96779,95660,95838,97415,98087,98538,103320,107982
6,House Heating Fuel: Wood,CO,39577,42179,40146,41289,43546,40734,38336,39595,34473,35043
25,Median Number of Rooms,CO,5.7,5.6,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
26,Number of Rooms: 1,CO,37486,39053,40474,40252,43397,53317,50461,52706,60373,51194
27,Number of Rooms: 2,CO,71626,81194,78520,86575,80909,81826,87355,91453,101067,106327
28,Number of Rooms: 3,CO,234279,226502,221276,223494,236377,227672,232680,235695,246177,257122
29,Number of Rooms: 4,CO,338131,356896,347843,343914,350586,366890,358349,364206,373187,370581
30,Number of Rooms: 5,CO,376095,363322,370621,373453,363043,355235,372794,365469,363851,378477
31,Number of Rooms: 6,CO,323009,319842,341441,325431,325141,341040,343597,351243,357686,355575
32,Number of Rooms: 7,CO,269095,267281,265455,267038,268699,262089,256842,280786,277058,275638
33,Number of Rooms: 8,CO,218762,218088,212780,212614,227408,229460,235640,233098,233502,231507
34,Number of Rooms: 9+,CO,345779,352483,352126,374520,380720,391593,401422,410839,411227,437688
35,Owner-Occupied,CO,3346759,3303536,3309511,3380652,3433755,3502826,3602782,3688160,3782924,3868591
36,Renter-Occupied,CO,1586434,1697791,1761647,1770315,1804631,1838002,1819638,1799705,1791492,1771004
37,Total Housing Units,CO,2214262,2224661,2230536,2247291,2276280,2309122,2339140,2385495,2424128,2464109
38,Total Population,CO,5049071,5116796,5187582,5268367,5355866,5456574,5540545,5607154,5695564,5758736
39,Units in Structure: 1 ATTACHED,CO,157573,151319,151100,156822,162811,161085,162969,165610,169278,176843
40,Units in Structure: 1 DETACHED,CO,1382607,1394331,1406322,1418724,1421189,1448020,1475203,1506014,1493822,1537618
41,Units in Structure: 10-19,CO,132723,133145,134390,128587,133664,137511,132125,132664,143438,137535
42,Units in Structure: 2,CO,43657,43010,39938,38628,35096,37959,34975,42249,40646,35327
43,Units in Structure: 20-49,CO,119205,122427,120389,120193,122026,122264,128845,124103,136185,133933
44,Units in Structure: 3-4,CO,76219,71773,73063,74573,75395,79111,77645,73355,82484,79049
45,Units in Structure: 5-9,CO,102082,110769,106706,105575,103825,105695,109087,111073,108085,114135
46,Units in Structure: 50+,CO,103512,108124,105815,109667,118267,120457,123104,134008,145417,150185
47,"Units in Structure: Boat,RV,Van,Etc.",CO,1583,1805,1318,1417,1666,1808,1713,1514,1752,1508
48,Units in Structure: Mobile Home,CO,95101,87958,91495,93105,102341,95212,93474,94905,103021,97976
49,Year Built: 1940-1949,CO,64348,63494,64091,63661,64818,63381,62947,65861,63503,57104
50,Year Built: 1950-1959,CO,182478,173201,184041,186345,184139,177116,176434,178768,182838,185329
51,Year Built: 1960-1969,CO,214683,211453,204108,216461,203258,209279,205420,197274,210544,204102
52,Year Built: 1970-1979,CO,442192,425580,424994,415438,437162,438687,438383,441721,421292,440868
53,Year Built: 1980-1989,CO,335119,325505,339502,337643,333152,342465,335906,345094,348550,342819
54,Year Built: 1990-1999,CO,377296,378221,372575,383707,377037,394904,384674,397312,400967,406261
55,Year Built: 2000-2009,CO,265562,280281,430476,425593,440235,419709,425479,409357,411996,404227
56,Year Built: 2010-2013,CO,146798,172482,20989,31792,54404,65072,70406,77524,78367,76050
57,Year Built: 2014 or later,CO,,,,,,18976.0,53629.0,84647.0,122260.0,165934.0
58,Year Built: before 1940,CO,185786,194444,189760,186651,182075,179533,185862,187937,183811,181415
