,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, North Carolina (Million cubic feet)",33963,33053,31588,31228,32405,28649,31701,35903,38384,38658,35003,37976,42588,47104,47451,49379,58812,52894,50786,52853,63899,56815,58904,65410,62800,63865,56506,58365,63912,65642,74520,61644,56511,69654,75178,64523,64547,59933,73262,67948,
"Natural gas consumed by (delivered to) the commercial sector, North Carolina (Million cubic feet)",26172,26367,24891,24705,26174,25029,25474,30010,32464,33145,31277,34313,36418,37370,38940,37362,40467,38021,36427,38019,43113,38583,40198,44262,45383,47696,46321,45434,48567,51303,56225,49898,48951,55271,59945,55114,55876,53726,57989,57310,
"Natural gas consumed by the industrial sector, North Carolina (Million cubic feet)",85611,85901,78927,74696,79527,74808,72475,76425,74874,82629,86184,84863,90984,92309,94838,106731,104124,111513,106497,107284,106547,88844,98306,88445,90133,86821,87150,88401,89317,82253,92321,99110,102151,109662,107904,105103,105504,107373,116776,119114,
"Natural gas consumed by the electric power sector, North Carolina (Million cubic feet)",1702,902,76,163,121,595,1137,1162,1068,1704,2827,4099,4321,3272,1525,5648,3590,5917,13685,12412,12942,16247,31877,14350,21423,27009,28374,40154,35963,39916,73072,89799,150866,201489,205740,269354,293272,278240,330119,303694,
"Total energy consumption per capita in the residential sector, North Carolina (Million Btu)",69,65.3,64.3,64.4,70.7,68,70.8,73.8,75.5,75.6,70.3,71.7,72.7,77.3,72.5,76.2,79.9,73.7,75.3,75.3,80.2,76.5,79.8,79.6,82.1,83.1,77.9,80,79.3,77.9,84.6,76.4,69.3,70,72.6,68.7,67.8,63.2,69.8,66.3,
"Electricity consumed by (i.e., sold to) the residential sector, North Carolina (Million kilowatthours)",24377,24928,24007,25237,26930,26852,29506,31507,32212,32784,33144,34391,34761,37742,37207,39506,41592,40611,42890,43648,46537,46201,49854,49349,51717,54073,52851,56095,55751,56311,62160,58056,54672,56251,58650,57902,58457,56134,61622,59853,
"Electricity consumed by (i.e., sold to) the residential sector per capita, North Carolina (Kilowatthours)",4132,4185,3989,4153,4369,4294,4667,4920,4971,4993,4974,5069,5040,5359,5177,5379,5545,5304,5492,5491,5758,5627,5988,5859,6047,6211,5927,6152,5989,5959,6492,6011,5606,5713,5902,5769,5753,5463,5930,5700,
"Distillate fuel oil consumed by the residential sector, North Carolina (Billion Btu)",41034,32130,28598,32515,38242,31740,32337,37817,38249,30280,24612,21585,23714,22990,21091,23413,24776,19940,17417,17270,18841,18145,16338,17790,16686,12960,11781,11407,10536,7343,8222,5947,4594,4939,4870,9052,7502,4038,4379,4053,
"Propane consumed by the residential sector, North Carolina (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24476,20440,14762,16176,18800,17309,14836,14227,18709,17644,
"Distillate fuel oil consumed by the commercial sector, North Carolina (Billion Btu)",9744,7822,5157,17080,20089,17231,15705,19523,20586,15225,13412,12280,11104,11719,12681,13648,16435,16652,15037,12578,15588,18014,11589,12743,9774,9711,8537,8685,7855,10470,9448,8780,8591,5517,7073,7383,6806,6917,7413,7541,
"Electricity consumed by (i.e., sold to) the commercial sector, North Carolina (Million kilowatthours)",14258,15681,15760,16357,18264,19163,20858,22110,23117,24273,25516,26411,26912,28547,29275,31104,32563,33344,35720,37202,39067,39895,41451,41672,42864,44161,44585,46807,46540,46240,47932,46467,46510,46649,47510,48236,48604,47890,49298,49173,
"Total energy consumption per capita in the commercial sector, North Carolina (Million Btu)",36.8,37.8,37.2,39.8,43.6,43.7,45.3,47.9,49.9,51.8,52.4,52.8,53.2,55,54.5,56.1,58.2,56.6,58.9,60.1,63,62.3,62.9,63.7,65.5,65.7,64.1,64.6,64.4,63.1,63.8,59.9,58.3,56.5,57.6,57.7,57.3,55.1,56.3,55,
