,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, North Carolina (Million cubic feet)",33963,33053,31588,31228,32405,28649,31701,35903,38384,38658,35003,37976,42588,47104,47451,49379,58812,52894,50786,52853,63899,56815,58904,65410,62800,63865,56506,58365,63912,65642,74520,61644,56511,69654,75178,64523,64547,59933,73262,67948,
"Natural gas consumed by (delivered to) the commercial sector, North Carolina (Million cubic feet)",26172,26367,24891,24705,26174,25029,25474,30010,32464,33145,31277,34313,36418,37370,38940,37362,40467,38021,36427,38019,43113,38583,40198,44262,45383,47696,46321,45434,48567,51303,56225,49898,48951,55271,59945,55114,55876,53726,57989,57310,
"Natural gas consumed by the industrial sector, North Carolina (Million cubic feet)",85611,85901,78927,74696,79527,74808,72475,76425,74874,82629,86184,84863,90984,92309,94838,106731,104124,111513,106497,107284,106547,88844,98306,88445,90133,86821,87150,88401,89317,82253,92321,99110,102151,109662,107904,105103,105504,107373,116776,119114,
"Natural gas consumed by the electric power sector, North Carolina (Million cubic feet)",1702,902,76,163,121,595,1137,1162,1068,1704,2827,4099,4321,3272,1525,5648,3590,5917,13685,12412,12942,16247,31877,14350,21423,27009,28374,40154,35963,39916,73072,89799,150866,201489,205740,269354,293272,278240,330119,303694,
